"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 06, 2020","326.83","323.49","332.38","313.77","399.52K","1.03%"
"Aug 30, 2020","323.49","315.27","336.00","305.00","918.13K","2.41%"
"Aug 23, 2020","315.89","303.42","316.51","299.78","1.22M","4.74%"
"Aug 16, 2020","301.60","304.53","308.61","294.93","1.62M","-0.73%"
"Aug 09, 2020","303.82","304.68","309.53","299.18","1.35M","-0.03%"
"Aug 02, 2020","303.92","284.34","304.00","282.71","1.60M","7.42%"
"Jul 26, 2020","282.93","283.82","289.05","277.83","1.16M","-0.23%"
"Jul 19, 2020","283.58","291.97","294.79","280.12","1.32M","-2.67%"
"Jul 12, 2020","291.37","291.21","299.00","281.88","1.89M","0.68%"
"Jul 05, 2020","289.40","289.56","293.30","277.60","2.54M","-0.23%"
"Jun 28, 2020","290.07","273.86","293.70","268.92","2.03M","6.26%"
"Jun 21, 2020","272.98","298.57","304.64","269.63","2.36M","-8.74%"
"Jun 14, 2020","299.12","283.59","309.01","275.73","2.27M","3.72%"
"Jun 07, 2020","288.40","318.44","324.24","276.88","2.09M","-9.46%"
"May 31, 2020","318.54","317.28","324.41","303.45","1.95M","0.49%"
"May 24, 2020","316.98","292.59","322.39","292.13","1.58M","10.28%"
"May 17, 2020","287.42","302.07","307.02","283.70","1.58M","-3.07%"
"May 10, 2020","296.52","301.81","313.84","290.82","1.72M","-2.63%"
"May 03, 2020","304.52","280.96","308.92","278.61","1.28M","8.64%"
"Apr 26, 2020","280.31","295.00","299.50","279.42","1.44M","-4.40%"
"Apr 19, 2020","293.21","303.60","307.23","285.26","1.25M","-4.27%"
"Apr 12, 2020","306.28","296.62","312.23","292.14","1.79M","3.27%"
"Apr 05, 2020","296.57","289.03","306.74","285.86","1.32M","6.04%"
"Mar 29, 2020","279.68","274.96","288.00","264.01","1.68M","2.36%"
"Mar 22, 2020","273.23","252.66","282.05","237.71","2.03M","9.01%"
"Mar 15, 2020","250.65","256.60","286.93","236.68","2.39M","-13.88%"
"Mar 08, 2020","291.04","330.00","335.89","272.78","3.02M","-12.81%"
"Mar 01, 2020","333.81","328.03","345.06","313.54","2.03M","2.85%"
"Feb 23, 2020","324.57","349.19","351.23","311.00","1.84M","-8.74%"
