tag,count
Python,1200
SQL,774
Git,480
Data Analysis,366
Pandas,341
Linux,326
Математическая статистика,263
C++,259
Machine Learning,242
Английский язык,231
Анализ данных,230
Numpy,205
MS Excel,192
Data Mining,185
MySQL,182
MATLAB,177
PostgreSQL,176
Keras,157
Big Data,155
ООП,155
Java,139
Machine learning,132
Matplotlib,132
HTML,130
Статистический анализ,118
Математический анализ,114
pandas,113
Работа в команде,112
R,110
JavaScript,108
MS PowerPoint,102
numpy,102
Машинное обучение,101
Математическое моделирование,100
MS Office,99
PyTorch,98
Data Science,97
CSS,97
Scikit-learn,96
C#,91
NumPy,87
Tensorflow,85
Bash,84
NLP,84
C/C++,83
Deep Learning,83
Sklearn,81
Docker,81
sklearn,78
Mathematical Statistics,77
Аналитическое мышление,77
MS SQL,77
Аналитические исследования,72
Управление проектами,69
TensorFlow,67
matplotlib,64
Latex,64
Пользователь ПК,64
Ответственность,63
ML,62
VBA,62
Spark,61
scikit-learn,61
Seaborn,60
Pytorch,59
Flask,58
Обучаемость,56
Django Framework,56
Базы данных,53
Analytical skills,53
Грамотная речь,52
MongoDB,50
machine learning,50
Работа с большим объемом информации,50
MS Word,50
MS SQL Server,50
PHP,49
Atlassian Jira,49
Hadoop,49
OpenCV,48
Организаторские навыки,48
Tableau,47
SciPy,45
Oracle Pl/SQL,44
Adobe Photoshop,44
Deep learning,43
HTML5,42
Работа с базами данных,40
Statistics,39
XGBoost,39
Математическое программирование,39
Computer Vision,39
Jupyter Notebook,39
Прогнозирование,37
Scipy,37
Jupiter,37
Scikit-Learn,36
tensorflow,36
Project management,36
Статистика,36
Mathematical Analysis,34
MS Visual Studio,34
Деловая переписка,34
Presentation skills,33
AutoCAD,33
Теория вероятностей,32
seaborn,31
Power BI,30
Qt,29
Data science,29
Работоспособность,29
MS Access,29
Mathcad,29
CatBoost,28
keras,28
pytorch,28
scipy,28
Нейронные сети,27
Коммуникабельность,27
Деловое общение,26
Написание научных статей,26
jQuery,26
Аналитический склад ума,26
Mathematical Modeling,26
Business Analysis,25
Регрессионный анализ,25
Time Series Analysis,25
Ведение переговоров,25
машинное обучение,25
Научные исследования,24
Neural Networks,24
UML,24
XML,24
Regression Analysis,24
CNN,23
xgboost,23
Sas,23
LightGBM,23
Wolfram Matematica,22
C,22
SCALA,22
Computer vision,22
Scrum,22
Проведение презентаций,22
NLTK,21
NoSQL,21
CSS3,21
Jupyter,21
Natural Language Processing,20
A/B тесты,20
Управление персоналом,20
.NET Framework,19
MS Outlook,19
Анализ временных рядов,19
Visual Studio C#,19
Линейная алгебра,19
Водительское удостоверение категории B,19
Исполнительность,18
Bootstrap,18
Деловая коммуникация,17
Statistica,17
Hive,17
Cистемы управления базами данных,17
Neural networks,17
Руководство коллективом,16
Business English,16
Публичные выступления,16
ORACLE,16
Стрессоустойчивость,16
Unix,16
SPSS,16
SQLite,16
Целеустремленность,15
PyCharm,15
Google Analytics,15
Обучение и развитие,15
Agile Project Management,15
Аналитика,15
SVN,15
Бизнес-анализ,15
Redis,14
Internet,14
Kaggle,14
Подготовка презентаций,14
Random Forest,14
Ориентация на результат,14
deep learning,14
Jupyter notebook,14
JSON API,14
Mathematical Programming,13
Mac Os,13
Умение работать в команде,13
Научная деятельность,13
Ajax,13
Assembler,13
RNN,13
PySpark,13
Разработка ПО,13
Data Visualization,12
Stata,12
Data Mining: Statistica,12
Обучение персонала,12
Econometrics,12
data science,12
Информационные технологии,12
IBM SPSS,12
Креативность,12
Разработка технических заданий,12
Android,12
MapReduce,12
MS Project,12
Microsoft Visual Studio,12
Software Development,11
REST,11
docker,11
Системный анализ,11
Maple,11
Transact-SQL,11
Оптимизация бизнес-процессов,11
Data Mining: Business Analytica,11
Теория вероятности,11
computer vision,11
Catboost,11
SQL Server,11
Octave,10
Умение работать в коллективе,10
CRM,10
Delphi,10
Грамотность,10
MS Visual Basic,10
Plotly,10
PHP5,10
hadoop,10
RStudio,10
Немецкий язык,9
Financial Analysis,9
Xgboost,9
ETL,9
Алгоритмы,9
API,9
Преподаватель,9
MS Visual C++,9
Adobe Illustrator,9
Jenkins,9
Team management,9
AWS,9
Визуализация данных,9
MS Visio,9
RabbitMQ,9
Research,9
STL,9
EViews,8
Навыки презентации,8
Time management,8
Компьютерное зрение,8
Microsoft Azure,8
Обучение,8
R language,8
Быстрая обучаемость,8
ASP.NET,8
Data Scientist,8
Конференции,8
Node.js,8
opencv,8
Компас-3D,8
Поиск информации в интернет,8
Веб-программирование,8
Math,8
Algorithms,8
Negotiation skills,8
React,8
Databases,8
Администрирование серверов Linux,8
Teamplayer,8
Экономический анализ,8
Leadership Skills,8
catboost,8
Eclipse,8
Финансовый анализ,8
R programming,8
Unit Testing,8
neural networks,8
Web Application Development,8
Кластерный анализ,8
Управление командой,8
Cluster Analysis,8
Atlassian Confluence,7
Яндекс.Метрика,7
Driving Licence B,7
GAN,7
1С: Предприятие 8,7
XGboost,7
Images Processing,7
Reinforcement learning,7
Risk management,7
plotly,7
Gradient Boosting,7
Pycharm,7
EDA,7
Design Patterns,7
СУБД,7
Teamleading,7
Эконометрика,7
Управленческие навыки,7
Windows 7,7
GitHub,7
SolidWorks,7
Тестирование,7
Adobe Premier Pro,7
Pascal,7
BPMN,7
MVC,7
Google Docs,7
CorelDRAW,7
Intellij IDEA,7
iOS,6
Data Mining: SPSS,6
Probability Theory,6
scikit learn,6
Алгоритмы и структуры данных,6
Tensor Flow,6
word2vec,6
Haskell,6
Планирование,6
Communication skills,6
lightgbm,6
Teradata,6
AI,6
Borland Delphi,6
Arduino,6
Oracle 11G,6
Linear Algebra,6
Bloomberg,6
ERP,6
Парсинг,6
torch,6
Visualisation,6
Marketing Analysis,6
Fortran,6
Joomla CMS,6
BeautifulSoup,6
Nginx,6
Пунктуальность,6
Сбор и анализ информации,6
Business intelligence,6
Ruby On Rails,6
Windows,6
Исследовательский анализ данных,6
CV,6
нейронные сети,6
CMS Wordpress,6
Anaconda,6
Logistic Regression,6
RapidMiner,6
Selenium,6
Google Cloud Platform,6
nltk,6
BERT,6
SAS Guide,6
Автоматизация,6
Предобработка данных,6
Azure,5
PowerBI,5
Unity,5
TCP/IP,5
Kotlin,5
CUDA,5
База данных: Oracle,5
Gensim,5
теория вероятности,5
Interpersonal skills,5
R Programming,5
Pyspark,5
Text Mining,5
SAP ERP,5
Business Intelligence Systems,5
Численные методы,5
Заключение договоров,5
statsmodels,5
ARIS,5
Machine Learning (ML),5
Системное мышление,5
визуализация данных,5
Cross Validation,5
Perl,5
SAP,5
Визуализация,5
PyMystem3,5
BigQuery,5
Python 3,5
Подготовка отчетов,5
Письменный перевод,5
Olap (online analytical processing),5
Бюджетирование,5
Statsmodels,5
