tag,count
Django Framework,46
Python,46
Английский — B1 — Средний,23
HTML,22
PostgreSQL,21
Веб-программирование,19
Работа в команде,18
django,16
Middle,16
React.js,16
Fullstack,16
Git,13
JavaScript,13
SQL,9
CSS,7
MySQL,5
Linux,5
Английский язык,4
RabbitMQ,3
Redis,3
Vuex,3
Vue,3
Google Docs,3
Docker,3
ООП,3
Django,3
React,2
CSS3,2
Debian,2
Английский — A1 — Начальный,2
Celery,2
HTML5,2
uWSGI,1
Умение работать в команде,1
Python3,1
Goland,1
Django REST Framework,1
Nginx,1
Unit Testing,1
Asyncio,1
Vue.js,1
GraphQL,1
Django-Admin,1
django rest framework (DRF),1
rest-api,1
Atlassian Jira,1
Angular,1
REST,1
API,1
docker,1
gunicorn,1
pandas,1
Управление проектами,1
Cистемы управления базами данных,1
Ajax,1
jQuery,1
Node.js,1
Symfony,1
Odoo,1
Пользователь ПК,1
Умение работать в коллективе,1
Базы данных,1
numpy,1
Администрирование серверов Linux,1
Python 3.6,1
kafka,1
Solid,1
GRASP,1
XML,1
Restful API,1
PHP,1
PHP5,1
Sass,1
