tag,count
Python,806
Django Framework,328
PostgreSQL,305
Git,305
Linux,262
SQL,255
MySQL,103
JavaScript,97
Redis,83
Английский язык,78
Flask,78
MongoDB,74
Docker,66
ООП,59
Английский — B1 — Средний,55
Английский — B2 — Средне-продвинутый,53
C++,50
REST,41
CSS,38
HTML,37
Atlassian Jira,32
RabbitMQ,28
Unix,25
Agile Project Management,25
QA,23
Java,23
Работа в команде,22
Bash,22
PHP,21
AWS,20
MS SQL,18
Nginx,18
Unit Testing,17
Asyncio,17
Английский — A1 — Начальный,17
Базы данных,17
API,16
XML,16
Celery,16
Selenium IDE,15
Scrum,14
React,14
jQuery,13
AngularJS,12
NoSQL,12
HTTP,12
CSS3,11
HTML5,11
Mac Os,10
vau.js,10
Kubernetes,10
Tornado,10
Веб-программирование,10
Django,9
Clickhouse,9
Pandas,9
Design Patterns,9
C/C++,8
Тестирование,8
Ajax,8
Golang,8
Аналитическое мышление,8
Автоматизированное тестирование,8
Go,8
Cистемы управления базами данных,8
Анализ данных,8
Big Data,8
docker,8
Data Mining,7
Teamleading,7
Kafka,7
Управление командой,7
Математическая статистика,7
MS Visual Studio,7
Преподаватель,7
Обучение и развитие,7
Node.js,7
Работа с базами данных,7
aiohttp,6
FastAPI,6
SOAP,6
asyncio,6
Qt,6
JSON API,6
Data Analysis,6
SQLAlchemy,6
SCALA,6
Администрирование серверов Linux,6
C#,6
pytest,6
Vue,5
Пользователь ПК,5
Разработка ПО,5
Функциональное тестирование,5
TCP/IP,5
Unix Shell Scripts,5
Поиск информации в интернет,5
JSON,5
REST API,5
NLP,5
ORACLE,5
Автоматизация,5
Управление проектами,5
Adobe Photoshop,5
Креативность,4
Azure,4
Tensorflow,4
.NET Framework,4
DRF,4
Spark,4
VBA,4
MS Access,4
STL,4
Google Docs,4
HighLoad,4
ML,4
Нагрузочное тестирование,4
Обучение,4
Machine learning,4
Test case,4
Pascal,4
Английский — C1 — Продвинутый,4
Jenkins,4
CI/CD,4
СУБД,4
