tag,count
PHP,1268
MySQL,921
Git,797
JavaScript,670
ООП,499
HTML,467
CSS,418
PostgreSQL,332
SQL,279
Symfony,279
Yii,278
jQuery,264
PHP5,244
Linux,233
Laravel,230
1С-Битрикс,208
MVC,147
Redis,134
CSS3,119
Ajax,117
HTML5,112
PHP7,80
Английский — B2 — Средне-продвинутый,77
Английский язык,75
Nginx,75
Docker,72
MongoDB,70
Английский — B1 — Средний,67
Bootstrap,66
Node.js,63
Веб-программирование,62
REST,62
RabbitMQ,60
CMS Wordpress,47
Yii2,47
AngularJS,42
Atlassian Jira,40
XML,38
Английский — A1 — Начальный,38
Python,37
MS SQL,34
Unit Testing,33
laravel,31
JSON API,30
Zend Framework,29
API,28
Java,28
Bitrix,27
Memcached,26
Работа в команде,25
SVN,25
Битрикс24,25
Golang,24
SOAP,22
Backend,22
Apache HTTP Server,20
Английский — A2 — Элементарный,20
Jetbrains Phpstorm,19
phpMyAdmin,18
Go,17
Magento,17
Базы данных,16
Elasticsearch,16
Scrum,16
Управление проектами,15
yii2,15
docker,14
Vue.js,13
PHPUnit,13
CI/CD,13
JS,13
Битрикс,13
CRM,13
React,12
BPM,12
Русский — C2 — В совершенстве,12
Bitrix framework,12
WEB,12
Unix,12
NoSQL,12
Управление командой,11
Sphinx,11
Agile Project Management,11
ORACLE,10
Drupal API,10
ElasticSearch,10
php7,10
Английский — C1 — Продвинутый,10
Angular,10
Разработка ПО,10
Joomla CMS,9
ClickHouse,9
Cистемы управления базами данных,9
ReactJS,9
Работа с базами данных,9
Создание сайтов,9
Design Patterns,9
MyS'L,9
Разработка технических заданий,9
Atlassian Confluence,9
C#,9
Web Application Development,9
1С программирование,9
C++,8
Less,8
Sass,8
E-Commerce,8
Обучение,8
Kubernetes,8
TDD,8
VueJS,8
HTTP,8
Vue,7
Codeigniter,7
Пользователь ПК,7
Delphi,7
разработка WEB -приложений,7
Apache Maven,7
PHP 7,7
DDD,7
разработка корпоративного портала,7
AWS,7
k8s,6
ORM,6
Phalcon,6
Администрирование серверов Linux,6
kafka,6
Apache,6
Написание статей,6
go,6
SOLID,6
SEO,6
Mercurial,5
СУБД,5
Испанский — B1 — Средний,5
Lumen,5
Планирование,5
Управление разработкой,5
Ориентация на результат,5
Администрирование сайтов,5
Bash,5
Английский — C2 — В совершенстве,5
Kafka,5
Управление временем,5
REST API,5
LAMP,5
React js,5
Yii Framework,5
Moodle,4
golang,4
Clickhouse,4
Грамотная речь,4
Debian,4
Jira,4
Nuxt,4
ERP,4
vue.js,4
JSON,4
rest api,4
Leadership Skills,4
Smarty,4
D7,4
Ext JS,4
Тайм-менеджмент,4
magento 2,4
TypeScript,3
Software Development,3
Adobe Photoshop,3
Web-дизайн,3
Разработка концепции,3
MSSQL,3
Kanban,3
Teamleading,3
bitrix,3
OOP,3
Обучение и развитие,3
PSR,3
Ответственность,3
Мобильность,3
1C-Bitrix,3
Mac Os,3
Doctrine,3
руководство командой разработчиков,3
highload,3
SaaS,3
GO,3
Битрикс 24,3
Composer,3
PHP4,3
Team management,3
CMS,3
Doctrine ORM,2
Преподаватель,2
Оперативный поиск информации в сети Интернет,2
VueJs,2
Кроссбраузерная верстка,2
Postgres,2
MS Office,2
Php5-7,2
Организация учебного процесса,2
Yandex Maps API,2
Системное мышление,2
Microservices,2
Работа с людьми,2
Modx Revolution,2
CMS 1С Битрикс,2
Английский — B1 — Средний,2
webpack,2
npm,2
Гибкость,2
"Фреймворки: Yii2, Symfony, Laravel",2
legacy code,2
программист,2
Русский — C1 — Продвинутый,2
Zend,2
Codelgniter Framework,2
Работа с большим объемом информации,2
Bitrix 24,2
Laravel/Symfony,2
Разработка нового продукта,2
1С: Управление Торговлей,2
RESTful API,2
Highload,2
Gitlab,2
Development,2
MODX,2
gitlab,2
.NET Framework,2
PHPMetrics,2
Jenkins,2
PHPInspections,2
Умение работать в команде,2
Vue JS,2
Subversion,2
CMS OpenCart,2
PHP 7.2+,2
mariadb,2
CentOS,2
Разработка CMS,2
CakePHP,2
Agile,2
Поисковые системы,2
Документооборот,2
Проведение тестирований,2
opencart,2
DevOps,2
cron,2
Микросервисы,2
Постановка задач разработчикам,2
Грамотность,2
