tag,count
Python,303
SQL,195
Git,117
Pandas,91
C++,85
Математическая статистика,82
Linux,78
Data Analysis,63
Machine Learning,62
Английский язык,61
ООП,55
Numpy,53
Keras,46
MS Excel,45
Matplotlib,45
MATLAB,44
Анализ данных,43
MySQL,40
Java,33
R,32
NumPy,32
Big Data,32
Машинное обучение,31
HTML,31
Machine learning,31
Математический анализ,29
PyTorch,28
PostgreSQL,28
C#,27
Mathematical Statistics,26
pandas,25
Математическое моделирование,24
Ответственность,24
Data Mining,24
Sklearn,23
Scikit-learn,23
CSS,23
MS PowerPoint,23
TensorFlow,22
Работа в команде,22
JavaScript,21
Tensorflow,21
sklearn,20
C/C++,20
NLP,20
scikit-learn,20
Обучаемость,20
Статистический анализ,19
numpy,19
Jupyter Notebook,18
MS Office,17
Data Science,17
Django Framework,17
MS SQL,17
Latex,17
Deep Learning,16
Bash,16
Пользователь ПК,15
Seaborn,15
matplotlib,15
ML,15
Computer Vision,14
Грамотная речь,14
Flask,14
MS Word,13
SciPy,13
Mathematical Analysis,13
Docker,12
Аналитическое мышление,12
Adobe Photoshop,12
XGBoost,12
Oracle Pl/SQL,11
Работоспособность,11
OpenCV,11
Аналитические исследования,11
Scikit-Learn,10
Jupiter,10
MS Visual Studio,10
Scipy,10
Теория вероятностей,10
Коммуникабельность,10
Pytorch,10
seaborn,9
machine learning,9
Tableau,9
Аналитический склад ума,9
MS SQL Server,8
SQLite,8
HTML5,8
Прогнозирование,8
Data science,8
PHP,8
tensorflow,8
Wolfram Matematica,8
Работа с большим объемом информации,7
XML,7
Нейронные сети,7
Анализ временных рядов,7
Работа с базами данных,7
Spark,7
pytorch,6
Jupyter,6
Исполнительность,6
Теория вероятности,6
Hadoop,6
C,6
Regression Analysis,6
Базы данных,6
Статистика,6
Deep learning,6
Power BI,6
Computer vision,6
Statistics,6
MS Access,5
Qt,5
Mathcad,5
.NET Framework,5
LightGBM,5
keras,5
Mathematical Modeling,5
Analytical skills,5
Natural Language Processing,5
CSS3,5
MongoDB,5
Линейная алгебра,5
Деловая коммуникация,5
Neural Networks,5
scipy,5
GitHub,4
Алгоритмы,4
ORACLE,4
Atlassian Jira,4
Visual Studio C#,4
AutoCAD,4
Sas,4
Целеустремленность,4
VBA,4
Математическое программирование,4
Разработка ПО,4
jQuery,4
Стрессоустойчивость,4
Octave,4
Stata,4
NoSQL,4
NLTK,4
Catboost,3
Neural networks,3
Алгоритмы и структуры данных,3
UML,3
MapReduce,3
MS Outlook,3
Регрессионный анализ,3
Cистемы управления базами данных,3
Econometrics,3
Водительское удостоверение категории B,3
Организаторские навыки,3
Bootstrap,3
xgboost,3
Управление проектами,3
Presentation skills,3
Unix,3
Internet,3
Android,3
Python3,3
Data preprocessing,3
plotly,3
машинное обучение,3
Эконометрика,3
Pascal,3
Selenium IDE,3
Microsoft Azure,3
Time Series Analysis,3
Проведение презентаций,3
Data Visualization,3
catboost,3
Anaconda,3
tableau,3
Экономическое моделирование,2
Leadership Skills,2
Лидерские качества,2
PyCharm,2
deep learning,2
Python 3,2
Transact-SQL,2
Teradata,2
Algorithms,2
Linux/Bash,2
SQL Server,2
word2vec,2
F#,2
Business Analysis,2
SMM,2
Unit Testing,2
Redis,2
Деловое общение,2
Mac Os,2
neural networks,2
Компас-3D,2
SVN,2
Maple,2
Mathematical Programming,2
erWin,2
IBM SPSS,2
pytest,2
Немецкий язык,2
ASP.NET,2
RStudio,2
Python Pandas,2
Высокая скорость печати,2
Eclipse,2
Exploratory data analysis,2
Classification,2
PySpark,2
SCALA,2
Предобработка данных,2
Bloomberg,2
Kaggle,2
Ведение переписки на иностранном языке,2
BeautifulSoup,2
PIL,2
Plotly,2
MS Project,2
IDEF,2
Prolog,2
Supervised Learning,2
Быстрая обучаемость,2
GAN,2
Самостоятельность,2
sci-kit learn,2
Визуализация,2
Windows,2
Французский язык,2
API,2
BigQuery,2
Fortran,2
EViews,2
Финансовый анализ,2
CNN,2
Анализ финансовых показателей,2
nltk,2
Бухгалтерский учет,2
Деловая переписка,2
Github,2
AWS,2
написание аналитических текстов,2
Assembler,2
React,2
Node.js,2
Грамотность,2
С++,2
Data Mining: Business Analytica,2
Визуализация данных,2
Visualisation,2
Haskell,2
Аналитика,2
Проверка гипотез,2
Поиск информации в интернет,2
BPMN,2
Обучение и развитие,2
Компьютерное зрение,2
Clojure,2
STL,2
Selenium,2
MS Visual C++,2
JSON API,2
Jupyter notebook,2
jupyter notebook,2
CatBoost,2
Data Mining: Statistica,2
Исследовательский анализ данных,1
Написание научных статей,1
"MySQL,",1
"Python,",1
Working with libraries in Python,1
torch,1
Скоринговая карта,1
Перевод художественной литературы,1
Описательная статистика,1
Scikit learn,1
Kotlin,1
data science basics,1
рекомендательные системы,1
линейная алгебра,1
Обработка текстов,1
Intellij IDEA,1
UDPipe,1
Постановка задач разработчикам,1
Хранилища данных,1
Hardworking,1
Научная деятельность,1
scikit-,1
"NumPy, Pandas, SciPy, scikit-learn, BioPython",1
JS,1
Trading analytics,1
САПР,1
теория вероятностей и математическая статистика,1
"Pandas, numpy, scipy, matplotlib",1
Внимательность к деталям,1
Physics,1
Networkx,1
scikitlearn,1
Complex networks,1
перевод научной литературы,1
Telegram боты,1
Mathematica,1
ANSYS,1
Химические методы анализа,1
DBMS,1
Quantitative skills (graduate Program in Quantitative Analysis in Center of Mathematical Finance),1
A/B тесты,1
pymorphy2,1
Decision And Risk Analytics,1
компьютерное зрение,1
Проверка статистических гипотез,1
Microsoft Office,1
алгоритмы и структуры данных,1
Dataflow,1
Базис Unix,1
Алгоритмы / Структуры данных,1
Peewee,1
Анализ данных выведение алгоритмов для улучшения показателей,1
ReactJS,1
Apache Beam,1
С / базис С++,1
"Python (sklearn, pandas, numpy, PyTorch)",1
Machine Learning fundamentals,1
Knime,1
Qlik,1
SPSS,1
Google Cloud Platform,1
1С программирование,1
Любознательность,1
"1 Group Faculty of Economics, Lomonosov Moscow State University",1
ML/DL,1
Знаю методы машинного обучению,1
Знаю статистику и теорию вероятности,1
Мотивация,1
Осваиваю SQL,1
Владею Python на 6 из 10,1
Statistical Data Analysis,1
Econometrics (R).,1
Windows Server 2003,1
Эконометрическое моделирование на языке R,1
Система компьютерной алгебры WxMaxima,1
Unity,1
Усидчивость,1
Упорство,1
Лемматизация,1
"прикладная математика (теория вероятности, статистика)",1
Экономический анализ,1
Способность работать с большими массивами информации.,1
Arch,1
Чтение технической литературы,1
Свободное владение английским,1
SSIS,1
нейронные сети,1
Навыки работы с временными рядами,1
Навыки работы с CNN,1
Опыт реализации алгоритмов машинного обучения с нуля,1
Библиотеки Numpy и Pandas,1
C++ - Basic level,1
"Методы визуализации данных (matplotlib, seaborn)",1
Python - Advanced level,1
Ориентация на результат,1
Python 3.x,1
Знание теории вероятности и основ мат.статистики,1
перевод статей,1
Хороший математический аппарат (успешное выступление на внутривузовских олимпиадах),1
Понимание архитектуры нейронных сетей,1
Знание базовых алгоритмов машинного обучения,1
CNTK,1
теория вероятности,1
Разработка проектной документации,1
Нейрокомпьютинг,1
opencv,1
Time management,1
Ксластеризация данных,1
Разработка технических заданий,1
Arduino,1
Подготовка презентаций,1
Machine Learning Algorithms,1
XGboost,1
База данных: Oracle,1
ORM,1
Discrete Mathematics,1
Deep Neural Networks,1
Map Reduce,1
OOP,1
Data visualisation,1
Parsing,1
Higher math,1
RNN,1
Язык R,1
RapidMiner,1
"Python (библиотеки Pandas, Numpy, Scipy, Scikit-learn)",1
"Офисный пакет Microsoft (Excel, Office, PowerPoint, Project, Visio)",1
Анализ и обработка естественного языка,1
Statistica,1
openMP,1
R programming software,1
Анализ инвестиционных проектов,1
Design Patterns,1
Relational Databases,1
Various programming paradigms in particular OOP,1
Легкая обучаемость,1
Умение видеть и исправлять ошибки,1
Системное мышление,1
Актуарные расчеты,1
AnyLogic,1
MPI,1
Bizagi process modeller,1
MS Visio,1
R language,1
SAS Data Miner,1
TSQL,1
CUDA,1
Objective-C,1
Анализ логов,1
Веб-парсинг,1
Code analysis and refactoring,1
математика,1
Мат. статистика/Теория вероятности,1
Soft skills,1
Hadoop/MapReduce,1
iOS,1
Xcode,1
Навыки межличностного общения,1
Java SE,1
Pinnacle Studio,1
Data engineering,1
Яндекс.Директ,1
Организация и планирование рабочего времени,1
Iron Python,1
Solid Works,1
InterSystems Cache,1
SAS Enterprise Miner,1
SAS Enterprise Guide,1
MySQL/MariaDB/SQLite,1
TensorFlow/Keras/Theano/TFLearn,1
ScienceDirect,1
REST,1
Нейросети,1
Business-driven mindset,1
Quick learner and passionate to thrive under data science challenges,1
TRIZ(theory of the resolution of invention-related tasks),1
Team player,1
"Research, analytical and interpersonal communicational skills",1
Android SDK,1
NetBeans,1
scikit-learn/Pandas,1
Творческое мышление,1
построение математических моделей,1
базовые навыки программирования на Python,1
Busines Valuation,1
R program,1
CFA,1
Investment Banking,1
Data Munging,1
Basic machine learning,1
pycharm,1
Project management,1
Oracle 11G,1
"Python (numpy, sklearn, pandas, matplotlib и т. Д.)",1
Ведение переговоров,1
Управление персоналом,1
Медицинское оборудование,1
NN,1
Programming,1
C language,1
"MS Office (Excel, PowerPoint, Access), Power BI",1
Pycharm,1
Ananconda Navigator,1
Spyder,1
Jupyter Notebooks,1
Simulink,1
Mathtype,1
System Analysis,1
Навык программирования,1
базовые знания SQL,1
Software Development,1
User Acceptance Testing,1
scikit learn,1
json,1
jupyter,1
pip,1
conda,1
cuda,1
Black box testing,1
QA,1
"Wolfram Mathematica, SPSS, AnyLogic",1
Bug Reporting,1
