tag,count
PHP,405
MySQL,399
HTML,341
JavaScript,334
CSS,327
jQuery,254
Git,241
ООП,220
HTML5,200
CSS3,180
SQL,174
Ajax,170
PHP5,139
Bootstrap,131
Linux,110
MVC,103
Adobe Photoshop,88
CMS Wordpress,70
Laravel,60
phpMyAdmin,57
Java,43
C#,42
XML,40
Yii,37
Веб-программирование,36
PostgreSQL,35
Пользователь ПК,34
C++,34
Apache HTTP Server,30
Английский язык,30
Python,29
Symfony,28
Yii2,25
Jetbrains Phpstorm,23
Работа в команде,23
MS SQL,23
Ответственность,19
Грамотная речь,18
Sass,17
Joomla CMS,16
1С-Битрикс,16
Обучаемость,16
Работоспособность,16
Composer,14
Работа с базами данных,13
Исполнительность,13
Docker,13
Nginx,13
JSON API,12
laravel,12
PHP7,11
MS PowerPoint,11
REST,11
MS Excel,11
JS,11
Visual Studio C#,11
Поиск информации в интернет,10
Коммуникабельность,10
Управление проектами,10
AngularJS,10
JSON,10
Windows 7,10
Node.js,9
HTML-верстка,9
MS Word,9
API,9
Adobe Illustrator,9
MS Office,9
Администрирование сайтов,9
MS Access,8
SEO,8
Целеустремленность,8
Базы данных,8
PHP4,8
MS Visual Studio,8
Less,8
Codeigniter,8
Cистемы управления базами данных,8
Android SDK,7
Django Framework,7
SVN,7
.NET Framework,7
ASP.NET,7
Memcached,7
Spring Framework,7
CorelDRAW,7
Zend Framework,6
Unity,6
MongoDB,6
Стрессоустойчивость,6
Redis,6
C/C++,6
CSS-верстка,6
Пунктуальность,6
Грамотность,6
Водительское удостоверение категории B,6
Веб-дизайн,6
NetBeans,6
MS SQL Server,6
C,5
Hibernate ORM,5
HTTP,5
Аналитическое мышление,5
Gulp,5
Vkontakte Api,5
Администрирование серверов Linux,5
Android,5
React,5
Java SE,5
Умение работать в команде,5
SOLID,5
Vue,5
VueJS,5
Design Patterns,4
Управление персоналом,4
1С программирование,4
Flask,4
Microsoft Visual Studio,4
Eclipse,4
Intellij IDEA,4
PHPUnit,4
Smarty,4
OpenCart,4
Web Application Development,4
Работа с большим объемом информации,4
Internet,4
Тестирование,4
Работа с оргтехникой,4
Unix,4
Организаторские навыки,4
Верстка,4
Создание сайтов,4
Pascal,4
JSP,4
WPF,3
Bash,3
AutoCAD,3
Активные продажи,3
1С: Предприятие 8,3
Open Server,3
Деловое общение,3
Windows Forms,3
NoSQL,3
Transact-SQL,3
SQL Server,3
SOAP,3
React.js,3
Drupal API,3
PSR-4,3
Разработка ПО,3
Vue.js,3
Аналитический склад ума,3
Windows Xp,3
Apache Tomcat,3
Java EE,3
SQLite,3
Ubuntu,3
Мед. книжка,3
Ruby On Rails,3
Настройка ПК,3
Lumen,3
Windows 8,3
Autodesk 3ds Max,3
Web Design,3
HTML/CSS,3
Twig,3
MS Outlook,3
Телефонные переговоры,2
Настройка серверов Apache,2
Желание развиваться,2
JUnit,2
Google Maps Api,2
Apache Maven,2
Java Core,2
Обучение персонала,2
3D Max,2
Холодные продажи,2
Ведение переговоров,2
Профессионально гуглю)),2
OOP,2
MS Visual Basic,2
yii,2
Деловая переписка,2
TCP/IP,2
DHCP,2
PHP 7,2
Амбициозность,2
Графический дизайн,2
Opencart,2
Laravel7,2
Php7,2
Администрирование сетевого оборудования,2
Magento,2
TDD,2
Borland Delphi,2
Delphi,2
UML,2
Творческое мышление,2
1С: Предприятие,2
Drupal CMS,2
Php 7,2
Знание основ PHP,2
MySQL GUI Tools,2
Flexbox,2
Blender 3D,2
Инициативность,2
Разработка CMS,2
Doctrine2,2
Обучение и развитие,2
Js,2
С#,2
Kohana,2
GitHub,2
Windows Server 2012,2
Phalcon,2
Assembler,2
Backbone,2
Sony Vegas,2
Atlassian Jira,2
Laravel 5,2
Codelgniter Framework,2
Работа с документами,2
Информационная безопасность,2
Знание ООП,2
REST API,2
Любознательность,2
Слепая печать,2
Bitbucket,2
Windows Os,2
Silex,2
Google Chrome,2
Сборка ПК,2
vue.js,2
Java Servlets,2
Точность и внимательность к деталям,2
composer,2
SCSS,2
PDO,2
Ремонт ПК,2
Умение расставлять приоритеты,2
RabbitMQ,2
yii2,2
Способность к обучению,2
Kivy,2
