tag,count
Python,961
Git,634
Django Framework,491
SQL,466
Linux,443
HTML,403
CSS,369
ООП,365
JavaScript,283
MySQL,278
PostgreSQL,266
HTML5,214
C++,178
Flask,171
CSS3,157
Английский язык,104
Bootstrap,104
Docker,95
Обучаемость,95
C#,93
Java,88
jQuery,87
Bash,72
Работа в команде,68
SQLite,67
Ответственность,64
C/C++,63
REST,61
Пользователь ПК,60
Adobe Photoshop,57
Ajax,57
Nginx,55
PHP,54
MongoDB,54
MS SQL,53
Pandas,47
Исполнительность,43
MS Excel,42
Работоспособность,40
Django,39
MS PowerPoint,36
XML,35
Веб-программирование,33
Коммуникабельность,33
Грамотная речь,32
Qt,32
API,32
Базы данных,29
Django Rest Framework,28
MS Visual Studio,26
Стрессоустойчивость,26
MATLAB,25
Numpy,24
Redis,24
MS SQL Server,23
MS Word,23
MVC,22
Математическая статистика,22
Atlassian Jira,21
Celery,21
HTTP,21
Windows 7,20
JSON API,20
Администрирование серверов Linux,20
NumPy,20
CMS Wordpress,20
C,19
Unit Testing,18
Математический анализ,18
MS Office,18
Работа с базами данных,17
Node.js,17
Data Analysis,16
SQLAlchemy,16
React,16
Unix,16
Matplotlib,15
Apache HTTP Server,15
Анализ данных,15
OpenCV,15
Организаторские навыки,14
Visual Studio C#,14
Keras,14
Unity,14
Scrum,13
Машинное обучение,13
Креативность,13
Internet,13
TCP/IP,12
Android,12
Selenium,12
Математическое моделирование,12
Machine learning,12
Аналитическое мышление,12
RabbitMQ,11
AngularJS,11
Sass,11
Tensorflow,11
STL,11
ORM,11
Django REST Framework,11
Microsoft Visual Studio,11
Java SE,11
Ubuntu,11
Oracle Pl/SQL,11
Vkontakte Api,11
Machine Learning,11
aiohttp,11
numpy,10
pandas,10
Scrapy,10
DRF,10
Pascal,10
Управление проектами,10
Golang,10
Cистемы управления базами данных,10
.NET Framework,10
Data Mining,10
Adobe Illustrator,10
Intellij IDEA,10
asyncio,10
Requests,10
Математическое программирование,9
Поиск информации в интернет,9
PHP5,9
Целеустремленность,9
Грамотность,9
Усидчивость,9
Django REST framework,9
PyCharm,9
Алгоритмы,9
Assembler,9
PyQt5,9
Работа с большим объемом информации,9
Умение работать в команде,9
Деловая коммуникация,9
Mathcad,8
Быстрая обучаемость,8
Go,8
Деловое общение,8
Аналитический склад ума,8
MS Access,8
Ведение переговоров,8
Разработка ПО,8
JSON,8
matplotlib,8
UML,8
Python3,8
Проведение презентаций,8
AutoCAD,8
Selenium IDE,8
Heroku,7
Python 3,7
Mac Os,7
Ruby,7
FastAPI,7
Gunicorn,7
Spring Framework,7
Программирование,7
PyTorch,7
BeautifulSoup,7
Асинхронное программирование,7
Деловая переписка,7
Vue.js,7
Обучение и развитие,7
PyQt,7
JS,7
docker,7
Big Data,7
Пунктуальность,6
Seaborn,6
Figma,6
Web Application Development,6
Умение работать в коллективе,6
CorelDRAW,6
MS Outlook,6
R,6
TensorFlow,6
Asyncio,6
Mathematical Statistics,6
Windows,6
REST API,6
Latex,6
Data science,6
Less,6
Pygame,6
WPF,6
С#,6
Delphi,6
SciPy,6
Jupyter Notebook,6
Алгоритмы и структуры данных,6
scikit-learn,6
Vue,5
NoSQL,5
Обучение,5
Ubuntu Server,5
Pytest,5
Kivy,5
Tableau,5
PyTest,5
Debian,5
Android SDK,5
phpMyAdmin,5
ML,5
Ruby On Rails,5
Data Science,5
Apache Maven,5
Sklearn,5
Windows Forms,4
csv,4
OOP,4
Wolfram Matematica,4
aiogram,4
sklearn,4
SVN,4
Tkinter,4
Высокая скорость печати,4
pytest,4
Немецкий язык,4
Работа с документами,4
Design Patterns,4
AWS,4
Web,4
Навыки презентации,4
Cisco,4
Agile Project Management,4
Настройка ПК,4
Redux,4
Знание Python,4
Scikit-learn,4
SEO,4
ReactJS,4
Верстка,4
Postman,4
Microsoft Access,4
Управление персоналом,4
SQL Server,4
Power BI,4
Django REST,4
Ориентация на результат,4
GitHub,4
Организация мероприятий,4
Angular,4
requests,4
Algorithms,4
Information Security,4
tkinter,4
1С: Предприятие 8,4
TypeScript,4
Telegram API,3
Kotlin,3
Pl/Python,3
Инициативность,3
AI,3
ElasticSearch,3
Vuex,3
Трудолюбие,3
Analytical skills,3
Verilog HDL,3
Компас-3D,3
QA,3
Информационные технологии,3
Информационная безопасность,3
Нейронные сети,3
Oracle Database,3
Rest API,3
Js,3
Scipy,3
Многозадачность,3
pycharm,3
Windows 10,3
Линейное программирование,3
Активность,3
CI/CD,3
VBA,3
Visual C++,3
Водительское удостоверение категории B,3
Backend,3
Django rest framework,3
С++,3
Autodesk Maya,3
Работа с людьми,3
MS Visio,3
Swift,3
ARM,3
IDEF,3
Самообучаемость,3
Autodesk Inventor,3
ASP.NET,3
MS Visual C++,3
Transact-SQL,3
celery,3
Shell Scripting,3
Pillow,3
Компас 3D,3
json,3
GitHub Actions,3
Ansible,3
Сборка ПК,3
PowerShell,3
Ремонт ПК,3
