tag,count
JavaScript,2132
Git,1474
HTML5,1245
CSS,1184
HTML,1159
CSS3,1107
jQuery,926
Node.js,883
MySQL,753
Bootstrap,720
Ajax,606
PHP,578
ООП,552
React,547
Linux,510
Adobe Photoshop,507
MongoDB,506
SQL,502
Redux,409
Sass,379
PostgreSQL,298
AngularJS,235
CMS Wordpress,234
Webpack,225
Python,222
TypeScript,198
PHP5,189
C#,186
MVC,183
Java,178
Less,176
Gulp,171
Веб-программирование,167
REST,159
Английский язык,155
Vue.js,151
XML,144
Docker,138
Nginx,133
JSON API,127
React.js,126
MS SQL,123
C++,118
Vue,107
Adobe Illustrator,104
Пользователь ПК,100
Работа в команде,98
ES6,94
Atlassian Jira,93
Redis,93
SCSS,92
Express,91
Laravel,90
ReactJS,90
SVN,87
Express.js,86
Joomla CMS,85
Кроссбраузерная верстка,83
Typescript,82
Yii,82
Figma,80
Ответственность,80
Управление проектами,75
webpack,74
React Native,73
Django Framework,68
Обучаемость,67
SEO,64
Web Application Development,64
Vuex,61
Исполнительность,61
Angular,59
API,59
.NET Framework,58
ASP.NET,58
Apache HTTP Server,58
phpMyAdmin,57
CorelDRAW,57
JSON,55
Scrum,53
1С-Битрикс,53
Backbone,50
Bash,50
MS SQL Server,49
Android,47
RabbitMQ,46
Unit Testing,45
Разработка ПО,45
GraphQL,44
Jetbrains Phpstorm,44
Грамотная речь,43
react,43
AutoCAD,43
MS Visual Studio,43
npm,42
HTTP,41
MS PowerPoint,41
Администрирование серверов Linux,40
Работоспособность,40
Visual Studio C#,40
NoSQL,38
Ведение переговоров,38
Mongoose,37
Symfony,36
БЭМ,36
Верстка,36
Организаторские навыки,35
Адаптивная верстка,34
BEM,34
Flex,34
Ruby On Rails,34
ORACLE,34
MS Office,34
Jest,34
Nuxt.js,33
VueJS,33
Firebase,33
redux,32
Scss,32
Администрирование сайтов,32
MS Excel,32
Design Patterns,32
Pug,31
Oracle Pl/SQL,31
SPA,31
Delphi,30
Базы данных,30
Agile Project Management,30
Unix,29
JS,29
Создание сайтов,29
Водительское удостоверение категории B,28
Yii2,28
C/C++,28
Intellij IDEA,28
React JS,28
Ruby,27
Коммуникабельность,27
NPM,26
SQLite,26
Умение работать в команде,26
Работа с базами данных,25
Unity,25
AWS,25
Cистемы управления базами данных,25
Android SDK,25
vue.js,25
Ext JS,25
Vuetify,25
typescript,24
Управление персоналом,24
Web-дизайн,24
MS Word,24
Spring Framework,24
Internet,23
ReactJs,23
Entity Framework,23
Babel,23
Mac Os,23
UI,23
Material UI,22
Flash Actionscript,21
Поиск информации в интернет,21
Веб-дизайн,21
Golang,21
iOS,21
