tag,count
SCALA,40
Java,29
Git,19
SQL,17
Linux,15
Spring Framework,14
Python,14
Akka,13
MySQL,12
MongoDB,11
PostgreSQL,11
JavaScript,11
Spark,8
REST,7
ООП,7
C++,7
Play Framework,6
Hadoop,5
Node.js,5
Big Data,5
Hibernate ORM,5
Bash,4
C#,4
MS SQL Server,4
Apache Maven,4
Java SE,4
Intellij IDEA,3
JUnit,3
Slick,3
HTML,3
Docker,3
PHP,3
HTML5,3
Unix Shell Scripts,3
XML,3
Atlassian Jira,3
Unix,3
jQuery,3
ORACLE,3
C,3
hadoop,3
Java EE,2
SVN,2
Machine Learning,2
Mercurial,2
Apache Spark,2
JSON API,2
Django Framework,2
Nginx,2
CSS,2
Netty,2
Kafka,2
Elasticsearch,2
Data Analysis,2
WCF,2
Haskell,2
Erlang,2
C/C++,2
Play Framework 2,2
PHP5,2
Android,2
Jenkins,2
React.js,2
Apache Flex,2
Memcached,2
Redis,2
MS SQL,2
Apache Tomcat,2
SQLite,2
Web Application Development,2
Agile Project Management,2
OAuth 2.0,1
Работа в команде,1
Unit Testing,1
Английский язык,1
Scrum,1
NixOS,1
Shell Scripting,1
Ответственность,1
JSP,1
Java Servlets,1
Bootstrap,1
Ansible,1
Clickhouse,1
agile,1
FP,1
FRP,1
Abstract Algebra,1
DevOps,1
Администрирование серверов Linux,1
Yii,1
Apache HTTP Server,1
Управление интернет-проектами,1
Debian,1
Веб-программирование,1
Development,1
javaFX,1
ML,1
Akka-streams,1
Gradle,1
Unity,1
Unity3d,1
Haxe,1
Delphi,1
CSS3,1
Техническое обслуживание,1
HBase,1
Adobe Photoshop,1
Drupal,1
Spray IO,1
Angular,1
TCP/IP,1
Qt,1
Web Services,1
Java Core,1
Spring Security,1
Aerospike,1
Spray.io,1
Guice,1
Cassandra,1
Distributed systems,1
Ebean,1
Google Protobuf,1
Kohana Framework,1
MS Visual Basic,1
Redmine,1
HTTP,1
SBT,1
Specs2,1
Reactive Programming,1
Purescript,1
Apache Flume,1
Machine learning,1
Go,1
Analytical skills,1
Engineering,1
Leadership Skills,1
Mentoring,1
problem solving,1
webservices,1
T-SQL,1
postrgresql,1
.NET,1
Функциональное програмированние,1
TypeScript,1
Cats,1
Graphics,1
Hibernate,1
Play framework,1
Алгоритмы,1
Структуры данных,1
Ansi C++,1
PyQt,1
wxPython,1
Subversion,1
Puppet,1
Laravel5,1
playframework,1
scalatest,1
Data Mining,1
MapReduce,1
MATLAB,1
STL,1
Eclipse,1
apache ant,1
Xcode,1
ADO.NET,1
akka actors,1
"Scala, Akka, Spark, C++/Qt",1
JSF,1
Chrome Extensions,1
8) Имею глубокое понимание принципов ООП,1
10) Есть опыт интегрирования приложений по API,1
"11) Базы данных: MySQL, PostgreSQL, MongoDB",1
12) Есть опыт создания стартапов. Прошел Стартап Инкубатор: КБТУ Стартап Инкубатор,1
"13) С другом делали Стартап Reco. , который прошел в Астана Хаб. Моя должность: COO",1
"14) Целеустремленный, отвественный, нацеленный на результат",1
"15) Умею управлять командой, во многих проектах был Тимлидом",1
"Владею Технологиями: Scala, Akka-Actors, Akka-HTTP",1
Могу писать проекты с микросервисной архитектурой,1
Умею работать с брокером сообщений RabbitMq,1
"REST API на Spring, Django, Flask, Scala(http4s)",1
Spring,1
selenium,1
TFS,1
MS Visual Studio,1
Visual Studio C#,1
Microsoft Visual Studio,1
.NET Framework,1
Perl,1
PowerShell,1
Обучаемость,1
FreeBSD,1
LLVM,1
impala,1
"9) Знаю паттерны проектирования: Singleton, Factory, Builder, Observer, Iterator",1
"7) Умею писать приложения на Android (Java, Kotlin)",1
hbase,1
6) Могу писать нейронные сети на языке Python,1
Groovy,1
Apache Hive,1
Php7,1
picolisp,1
Lisp,1
Clojure,1
Typescript,1
Functional programming,1
Akka HTTP,1
Akka Streams,1
Spring Boot,1
Spring Integration,1
Spock,1
BDD,1
Play,1
ReactJS / Redux,1
ScalaTest,1
Исполнительность,1
"1) Владею C++, C#, Java, Python, Kotlin, PHP, JavaScript, TypeScript",1
"2) HTML, CSS, Bootstrap",1
"3) Фреймвокри: Django, Flask, Spring/Spring Boot, Angular",1
4) Работаю с СКВ GitHub,1
"5) Владею tensor-flow, keras, sklearn, pandas, seaborn, numpy для Machine Learning на Python",1
hive,1
Быстро обучаемый. Стрессоустойчивый.,1
Google Chrome,1
Scheme,1
Wolfram Matematica,1
Функциональное программирование,1
Coq,1
blockchain,1
TLA+,1
Apache Hadoop,1
Apache Flink,1
Amazon Web Services,1
PhoneGap,1
Knockout.js,1
SBT/ Gradle/ Maven,1
JSON,1
Google Maps Api,1
GPS,1
Экстремальное программирование,1
Android SDK,1
Layout,1
Design Patterns,1
Game Programming,1
Game Physics,1
Flash Actionscript,1
Algorithms,1
Flash,1
SPARQL,1
R,1
Oracle Pl/SQL,1
Modelica,1
Transact-SQL,1
Multithread Programming,1
Scala (language),1
JDBC,1
CoffeeScript,1
groovy on grails,1
Ruby On Rails,1
AngularJS,1
ElasticSearch,1
Apache Kafka,1
Apache HBase,1
Apache Cassandra,1
Electron,1
k8s,1
Perf,1
Prometheus,1
ELK,1
EFK,1
Grafana,1
Jaeger,1
ClickHouse,1
spark-streaming,1
Latex,1
soft skills,1
