tag,count
1С программирование,737
1С: Предприятие 8,628
1С: Бухгалтерия,427
1С: Зарплата и управление персоналом,413
1С: Управление Торговлей,369
1С: Документооборот,346
1C: Бухгалтерия,226
1С: Торговля,171
1С: Управление Производственным Предприятием,165
Пользователь ПК,149
1С: Розница,133
Обновление конфигурации 1С,130
MS SQL,119
1С: Комплексная автоматизация,110
ERP-системы на базе 1С,98
SQL,97
Работа в команде,95
1С: Торговля и склад,92
1С: Управление предприятием,69
Работа с большим объемом информации,63
1С: Склад,62
1С: Предприятие,59
1С: Производство,59
Консультирование,55
Бухгалтерский учет,53
Работа с базами данных,53
Грамотная речь,48
Английский — A1 — Начальный,45
XML,44
Разработка технических заданий,43
1С-Битрикс,39
MS SQL Server,39
Первичная бухгалтерская документация,38
Базы данных,38
1С: Зарплата и кадры,36
Первичные документы,35
Cистемы управления базами данных,35
ERP,35
Управление проектами,33
1С: Управление персоналом,33
MS Outlook,33
1C: Зарплата и кадры,29
Документальное сопровождение,28
Деловая переписка,26
Документооборот,26
MS Visio,26
Первичная документация,25
Разработка ПО,25
Internet,25
Работа с оргтехникой,23
Деловое общение,22
1С: Бухгалтерия и склад,22
Клиентоориентированность,21
WMS,21
Консультативные продажи,20
Постановка задач разработчикам,19
HTML,19
Английский язык,18
Офисная техника,18
Техническая поддержка,18
Разработка инструкций,18
MySQL,17
Электронный документооборот,17
MS Access,17
ООП,17
MS PowerPoint,17
Электронная почта,16
Расчет заработной платы,16
Ответственность,16
оформление заказов,15
C++,15
Бухгалтерская отчетность,15
Умение работать в коллективе,14
Аналитическое мышление,14
Коммуникабельность,14
JavaScript,14
Делопроизводство,14
Работа с поставщиками,14
Обучение и развитие,14
Телефонные переговоры,14
Грамотность,14
Ведение переговоров,14
1С: Предприятие: Бухгалтерский Учет,13
CRM,13
Складской Учет,12
Английский — B1 — Средний,12
Информационные технологии,12
CSS,11
PostgreSQL,11
Системное мышление,11
ERP Systems,11
Прием и распределение телефонных звонков,11
Точность и внимательность к деталям,11
Бизнес-анализ,10
1C: Финансы,10
SOAP,10
Бумажный документооборот,10
Обучение персонала,10
Кадровое делопроизводство,9
Многозадачность,9
MS Excel,9
Ориентация на результат,8
Поиск информации в интернет,8
Оприходование товара,8
Стрессоустойчивость,8
Учет товаров,8
MS Internet Explorer,8
Инвентаризация,8
Высокая скорость печати,8
Администрирование,8
1С,8
Управленческий учет,8
Git,8
Навыки работы с первичной документацией,8
Консультирование клиентов по телефону,8
СКД,8
Автоматизация,8
оформление документации,7
Аналитический склад ума,7
MS Office,7
Borland Delphi,7
REST,7
Работа с документами,7
Настройка ПК,7
PHP,7
Умение работать в команде,7
PHP5,6
Навыки межличностного общения,6
Оптимизация бизнес-процессов,6
Ведение отчетности,6
SWOT,6
1С: CRM ПРОФ,6
Google Chrome,6
Работа с ТМЦ,6
Розничная торговля,6
SWOT анализ,6
Оформление возврата продукции,6
Акты сверок,6
Бюджетирование,6
Деловая коммуникация,6
SQL Server,6
Создание конфигурации 1С,6
Adobe Acrobat,6
Банк-клиент,5
Английский — A2 — Элементарный,5
Управляемые формы,5
Функциональное тестирование,5
CSS3,5
1C: ERP,5
Учет остатков,5
Архивирование,5
Кассовые операции,5
Scrum,5
Администрирование серверов Windows,5
Навыки составления отчетности,5
первичная обработка документации,5
1С: Предприятие 7,5
Работа с людьми,5
Управление временем,5
Управленческая отчетность,5
Тестирование пользовательского интерфейса,5
Контроль отгрузок,5
Администрирование сетевого оборудования,5
Анализ данных,5
Аналитические способности,4
1С-Рарус,4
Английский — B2 — Средне-продвинутый,4
Linux,4
СУБД,4
Мобильность,4
Знание 1С,4
Контроль качества,4
Системная интеграция,4
исходящие звонки,4
Закупки,4
TMS Systems,4
Заключение договоров,4
Навыки продаж,4
Складская логистика,4
разработчик 1С,4
1С ERP,4
Ведение архива,4
Настройка сетевых подключений,4
Организаторские навыки,4
Управление персоналом,4
Исполнительность,4
реализация товаров и услуг,4
Планирование карьеры,4
входящие звонки,4
Turbo Pascal,4
Проведение инвентаризаций,4
Работа с претензиями,4
MS Word,4
Налоговая отчетность,4
HTML5,3
1С: Предприятие: Розница,3
Pascal,3
ТМЦ,3
Работа с юридическими лицами,3
MS Project,3
Финансовая отчетность,3
Проведение презентаций,3
Формирование управленческой отчетности,3
Складской документооборот,3
Обучение,3
Visual Studio C#,3
Налоговый учет,3
Торговля,3
Agile Project Management,3
Поиск и привлечение клиентов,3
HTTP,3
Моделирование бизнес процессов,3
MS Dos,3
1С: Управление холдингом,3
ЕГАИС,3
Расчет зарплаты,3
jQuery,3
Навыки презентации,3
Подключение торгового оборудования к 1С,3
Техническое обслуживание,3
Контроль сроков годности,3
1С 8.3,3
Написание процедур,3
разработка 1С,3
Java,3
Терминалы Сбора Данных,3
Mac Os,3
Работа в режиме многозадачности,3
Консультирование клиентов,3
Консультант 1С,3
Развитие продаж,3
MS Visual Studio,3
UML,3
Windows 7,3
внимательность,3
Аналитические исследования,2
Выездное обслуживание,2
XDTO,2
обучаемость,2
Администрирование сайтов,2
JSON API,2
Настройка серверов,2
Настройка ПО,2
УНФ,2
обмен данными,2
Экономический анализ,2
Сбор и анализ информации,2
"Участок ""Касса""",2
C/C++,2
