tag,count
Python,190
SQL,106
Data Mining,86
Математическая статистика,39
C++,35
Английский язык,34
Data Analysis,32
Big Data,28
MATLAB,28
Анализ данных,24
Статистический анализ,23
Математическое моделирование,22
Business Development,22
MS SQL,20
Machine Learning,19
Английский — C1 — Продвинутый,18
Data Science,17
Математический анализ,17
R,14
PyTorch,14
data science,13
NLP,13
Presentation skills,12
Английский — B2 — Средне-продвинутый,12
ORACLE,12
Linux,12
Git,11
ML,11
TensorFlow,10
Pandas,10
Аналитические исследования,9
Tensorflow,9
Hadoop,9
Работа с базами данных,9
ООП,9
machine learning,8
Аналитическое мышление,8
Английский — B1 — Средний,8
Статистика,8
Java,8
Управление проектами,7
Базы данных,7
Обучение и развитие,7
clickhouse,6
Spark,6
SCALA,6
Data Scientist,6
Keras,5
Pytorch,5
Математическое программирование,5
sisense,5
qlik,5
SaaS,5
MS PowerPoint,5
Deep Learning,5
Tableau,4
Mathematical Statistics,4
Project management,4
Английский — C2 — В совершенстве,4
Sas,4
pandas,4
Oracle Pl/SQL,4
Olap (online analytical processing),4
Английский — A1 — Начальный,4
Прогнозирование,4
CRM,3
Agile Project Management,3
Работа в команде,3
Teamleading,3
Бизнес-анализ,3
VBA,3
Hive,3
HTML,3
MS Access,3
Управление рисками,3
Грамотная речь,3
Machine learning,3
ETL,3
Работа с большим объемом информации,3
Аналитика,2
natural language processing,2
C#,2
Power BI,2
Cистемы управления базами данных,2
MySQL,2
Bash,2
MS Excel,2
Kafka,2
нейронные сети,2
машинное обучение,2
neural networks,2
PostgreSQL,2
Natural Language Processing,2
Computer Vision,2
Presales,2
Advertising,2
Английский — A2 — Элементарный,2
Mathematical Modeling,2
Пользователь ПК,2
Marketing technology,2
Написание статей,2
Latex,2
C/C++,2
Airflow,2
Pascal,2
Statistica,2
XGBoost,2
LightGBM,2
Машинное обучение,2
Apache Spark,2
Риск-менеджмент,2
Docker,2
computer vision,2
MS SQL Server,2
Скоринговая карта,2
Анализ рисков,2
Нейронные сети,1
sklearn,1
xgboost,1
Product Promotion,1
Тестирование,1
Numpy,1
CNN,1
machine lerning,1
CQL,1
Matplotlib,1
MongoDB,1
Scikit-Learn,1
Analysis,1
RNN,1
Time management,1
Leadership Skills,1
Креативность,1
Обучение персонала,1
A/B тесты,1
MS Visio,1
Visualisation,1
количественные исследования,1
теория вероятности,1
Quik,1
Теория вероятностей,1
Виды страхования,1
CV,1
Mathematical Programming,1
numpy,1
Bag-of-Words,1
scipy,1
Gensim,1
Подготовка отчетов,1
TF-IDF,1
Управление командой,1
KNN,1
data scientist,1
опыт работы в проектах .наличие научных публикаций и блогов,1
KMeans,1
Statistical Analysis,1
Ориентация на результат,1
Управление эффективностью,1
бустинги,1
Data Engineering,1
Ценообразование,1
Neural networks,1
Syntax analysis,1
Web scraping with Python,1
Teamplayer,1
бэггинг,1
Регрессионные модели,1
Copmuter Vision,1
XML,1
LSA,1
Word2Vec,1
FastText,1
Teambuilding,1
Mathcad,1
GloVe,1
BERT,1
Language Modelling,1
ELMo,1
ULMFiT,1
Universal Transformer,1
Google Cloud,1
Kubeflow,1
Sentiment Analysis,1
Оптимизация бизнес-процессов,1
tensorflow,1
Управленческое консультирование,1
Методы анализа данных,1
Annoy,1
Экономическое моделирование,1
computer vision technologies,1
computer graphics,1
Transact-SQL,1
Classical Machine Learning,1
администрирование БД,1
Работа с системами аналитики,1
Kubernetes,1
Веб-аналитика,1
CSS,1
Многозадачность,1
Нейросети,1
Кредиторская задолженность,1
Phyton,1
Atlassian Jira,1
MLFlow,1
Apache NiFi,1
CorelDRAW,1
Участие в Тендерах,1
CUDA,1
Оценка рисков,1
deep learning,1
База данных: Oracle,1
SAS base,1
Нейровизуализация,1
"Spark, Hadoop",1
Анализ финансовых показателей,1
Catboost,1
Jupyter notebook,1
Feature Engineering,1
Финансовое моделирование,1
NLU,1
Automatic Speech Recognition,1
scikit-learn,1
Подготовка презентаций,1
ASR,1
automatic speech recognition,1
CMake,1
MVP,1
Customer,1
свободный английский,1
свободный английский язык,1
Time Series Analysis,1
ONNX,1
OpenVino,1
TensorRT,1
git clone,1
Написание научный статей,1
Консультирование,1
Управление отношениями с клиентами,1
Поиск информации в интернет,1
машинное обучения,1
CatBoost,1
ElasticSearch,1
Бизнес-консультирование,1
antispoofing,1
Sales,1
Marketing Analysis,1
Team management,1
Знание устройства автомобиля,1
NER,1
Clickhouse,1
Business English,1
Управление разработкой,1
Mathematical Analysis,1
Русский — C2 — В совершенстве,1
Контроль поставок,1
MS Visual Studio,1
Microsoft Visual Studio,1
DWH,1
Marchine Learning,1
Технический английский,1
СУБД,1
Регрессионный анализ,1
нейросети,1
