tag,count
SCALA,73
Java,37
SQL,17
Git,16
Linux,16
Английский язык,10
Spark,10
PostgreSQL,10
ООП,7
Kafka,6
RabbitMQ,6
Английский — B2 — Средне-продвинутый,6
MongoDB,6
Kubernetes,6
Docker,5
Akka,5
Java SE,4
C#,4
Cats,4
Работа в команде,3
Python,3
СУБД,3
Разработка ПО,3
Cassandra,3
Big Data,3
HTTP,3
JavaScript,2
Аналитическое мышление,2
Веб-программирование,2
Английский — A1 — Начальный,2
Nginx,2
JUnit,2
Hadoop,2
TypeScript,2
Angular 7,2
ELK,2
Jenkins,2
gRPC,2
Protobuf,2
fs2,2
Обучение и развитие,2
Scrum,2
Mercurial,2
akka,2
Akka HTTP,2
Akka Streams,2
Websockets,2
REST,2
Slick,2
NoSQL,1
Play Framework,1
Английский — C1 — Продвинутый,1
Apache Kafka,1
Ms Expert,1
Doobie,1
http4s,1
WebStorm IDEA,1
Spray,1
Atlassian Jira,1
С#,1
Kotlin,1
Java11,1
Информационные технологии,1
MS SQL,1
Project management,1
Design Patterns,1
CQRS,1
Bash,1
jira,1
kibana,1
WebSockets,1
Play framework,1
RocksDB,1
Adobe After Effect,1
Reactive Streams,1
hadoop,1
cats,1
zio,1
Первичные документы,1
Tagless Final,1
fintech,1
Apache STACK,1
Тренинги,1
data structures,1
API,1
algorithms,1
.NET Framework,1
UML,1
MS SQL Server,1
DWH,1
REST API,1
data lake,1
kafka,1
hive,1
IBM,1
Английский — B1 — Средний,1
developer,1
impala,1
Страховая документация,1
Java EE,1
No SQL DB,1
Mac Os,1
Spring Framework,1
MySQL,1
Базы данных,1
