tag,count
C++,590
Linux,332
Git,183
C/C++,177
Qt,170
ООП,169
Python,117
STL,100
SQL,67
TCP/IP,65
Английский язык,56
Английский — B1 — Средний,44
MS Visual Studio,43
PostgreSQL,41
Boost,36
Java,35
Android,35
C#,31
Разработка ПО,30
JavaScript,29
Английский — B2 — Средне-продвинутый,28
QNX,27
SVN,22
СУБД,21
MATLAB,20
OpenGL,19
Bash,18
CSS,18
QML,17
Работа в команде,16
Английский — A1 — Начальный,16
HTML,16
Game Programming,15
iOS,15
С++,14
shell,13
Unix,12
CMake,12
Scrum,11
Базы данных,11
remote,10
Unreal Engine 4,10
Debian,10
XML,10
full-time,10
macOS,10
CPP,10
MS SQL,10
MySQL,10
DirectX,9
Mac Os,9
Design Patterns,9
Android SDK,9
Английский — A2 — Элементарный,8
3D,8
Unit Testing,8
C,8
Разработка технических заданий,8
Multithread Programming,8
Unity,8
jQuery,8
VoIP,8
Objective-C,8
MS Visual C++,8
Embedded,8
Управление проектами,7
ML,7
Работа с базами данных,7
Atlassian Confluence,7
js,7
ORACLE,7
Win32 Api,7
OpenCV,7
Windows,7
Computer Vision,7
Atlassian Jira,7
Mercurial,7
MS SQL Server,6
Многопоточность,6
Владение matlab\python\bash,6
Обучение и развитие,6
Опыт работы с MSVC\cmake,6
REST,6
С,6
Уверенная работа в Windows\Linux,6
"Опыт с ML\NN и пакетами Caffe, TensorFlow, Keros, PyTorch",6
Unreal Engine,6
ARM,6
Machine Learning,6
"Наличие публикаций в области обработки изображений\сигналов\видео, участие в соревнованиях по обрабо",6
Nginx,6
Assembler,6
Windows 7,6
Информационная безопасность,6
Redmine,6
.NET Framework,6
SQLite,6
Cистемы управления базами данных,6
MFC,5
Oracle Pl/SQL,5
База данных: Oracle,5
JS,5
Agile Project Management,5
ОСРВ,5
GUI,5
WebRTC,5
Node.js,5
Математический анализ,5
UML,5
BIM,5
SIP,5
SDK,4
Software Development,4
Microsoft Visual Studio,4
Креативность,4
UE4,4
Delphi,4
TFS,4
C++11,4
ЦОС,4
Компьютерное зрение,4
RTOS,4
cmake,4
Алгоритмы,4
Lua,4
CLI,4
Rust,4
Математическое моделирование,4
Go,4
HTTP,4
Аналитическое мышление,4
TDD,4
Qt Widgets,4
HTML5,3
POSIX,3
Eclipse,3
Networking,3
CSS3,3
MongoDB,3
Ethernet,3
gdb,3
Kafka,3
RTSP,3
Информационные технологии,3
Математическая статистика,3
программирование,3
x86,3
machine learning,3
Публичные выступления,3
Математическое программирование,3
CI/CD,3
TCP/UDP,3
Дистанционное обучение,3
Творческое мышление,3
Спортивные мероприятия,3
Машинное обучение,3
Анализ данных,3
unreal engine,3
ReSharper,3
Rider,3
Visual Studio C#,3
Пользователь ПК,3
Техническая документация,3
Docker,3
Jenkins,3
RTP,3
Windows Os,3
STM32,3
Adobe Photoshop,3
Astra Linux,3
DSP,3
Cortex,3
Обработка изображений,3
EdgeComputing,2
Redis,2
Линейная алгебра,2
Java SE,2
сетевое взаимодействие,2
AllFusion ERwin Data Modeler,2
Работа с кассой,2
Написание научный статей,2
MS Visual Basic,2
WinAPI,2
С++11,2
Грамотность,2
Средства криптографической защиты информации,2
структуры данных,2
asio,2
Game Development,2
телекоммуникации,2
Нелинейное программирование,2
Asterisk,2
кроссплатформенность,2
Сетевое оборудование,2
Apache HTTP Server,2
JSON,2
Разработка драйверов,2
ComputerVision,2
GCC,2
Графические редакторы,2
DPDK,2
С++14,2
алгоритмы,2
UI,2
IPS,2
Business English,2
multithreading,2
Pascal,2
WebGL,2
REST API,2
Microcontrollers,2
FFMPEG,2
СMake,2
Research,2
многопоточность,2
complex algorithm development,2
Микросервисы,2
Ответственность,2
kernel,2
ONVIF,2
Умение работать в коллективе,2
Visual Studio,2
распределенные системы,2
Squirrel,2
Cocos2d,2
Ruby,2
Cocos,2
Blockchain,2
С#,2
Golang,2
gamedev,2
Проектирование пользовательских интерфейсов,2
Системный подход,2
Английский — C1 — Продвинутый,2
Немецкий — C1 — Продвинутый,2
Операционные системы,2
Грамотная речь,2
C++14,2
javacard,2
Sailfish OS,2
разработка алгоримов,2
SOLID,2
Spark,2
Hadoop,2
GStreamer,2
3D-графика,2
Images Processing,2
Разработка компьютерных Игр,2
QtWebEngine,2
AWS,2
Встраиваемое ПО,2
Телекоммуникации,2
emv,2
Vulkan,2
PowerShell,2
Немецкий язык,2
GoLang,2
OpenCL,2
GSM,2
MIPS,2
TrustZone,2
OpenSSL,2
C \ C++,2
MacOS,2
UDP,2
Teamleading,2
Умение работать в команде,2
Биржевое ПО,2
CUDA,2
Open Source,2
MS Excel,2
PowerPC,2
Системы реального времени,2
Ansi C++,2
Обучение,2
GameDev,2
The Bat,2
I2C,2
SPI,2
Кроссплатформенная разработка,2
C++03,2
Схемотехника электронного оборудования,2
ffmpeg,2
Unigine,2
CryEngine,2
Теория вероятности,2
english,1
ROS,1
работа с биржами,1
computer science,1
Teambuilding,1
SQL Server,1
MariaDB,1
Libev,1
Haskell,1
English (B2),1
English,1
Исполнительность,1
Обучаемость,1
Makefile,1
Разработка технической документации,1
C++11/14,1
developer,1
Team management,1
финтех,1
Qt Framework,1
Chromium Embedded Framework,1
C и С++;,1
ZMQ,1
Linux Preempt_rt,1
ASN1,1
Сети,1
Django,1
Three.js,1
AOSP,1
osmocom,1
UE Blueprints,1
UART,1
микроконтроллеры,1
Data structures,1
Algorithms,1
Mantis,1
Customer Support,1
Bug Reporting,1
MS Access,1
linux Ubuntu,1
САПР,1
знание библиотек QT версии 4 b версии 5,1
Time management,1
"Linux, СУБД/SQL",1
Unix Shell Scripts,1
MS Word,1
ассемблеры,1
digital image processing,1
Image Quality,1
Camera HAL,1
Prometheus,1
Graphite,1
Grafana,1
redash,1
Tarantool,1
Clickhouse,1
