tag,count
C++,1342
Git,928
C/C++,842
ООП,808
Linux,787
Qt,686
SQL,670
Python,546
STL,522
MS Visual Studio,481
C#,457
HTML,390
MySQL,379
Java,362
JavaScript,343
CSS,267
SVN,229
PHP,224
MS Visual C++,216
Английский язык,210
PostgreSQL,195
MS SQL,178
Boost,177
Adobe Photoshop,171
Пользователь ПК,169
Microsoft Visual Studio,167
Assembler,166
Разработка ПО,161
Работа в команде,153
XML,147
Bash,144
TCP/IP,135
OpenGL,132
.NET Framework,128
HTML5,126
MATLAB,125
Android,113
Visual Studio C#,112
MS SQL Server,109
Multithread Programming,109
Delphi,102
jQuery,96
Visual C++,95
C,94
Borland C++,93
Windows 7,91
CSS3,91
Design Patterns,84
MS PowerPoint,79
MS Office,79
Unity,78
Математическое программирование,76
Базы данных,76
Atlassian Jira,75
SQLite,72
Eclipse,72
Грамотная речь,71
Управление проектами,69
PHP5,67
OpenCV,65
Ответственность,62
WPF,61
Pascal,61
ASP.NET,60
Математический анализ,57
Cистемы управления базами данных,57
MS Excel,56
Unix,55
Windows API,55
Ajax,53
Windows Forms,52
Unit Testing,52
MS Access,52
AutoCAD,51
Исполнительность,51
Mathcad,51
UML,50
MVC,49
Win32 Api,49
Обучаемость,48
Borland Delphi,48
Организаторские навыки,47
Android SDK,47
Работа с базами данных,47
Администрирование серверов Linux,46
Internet,46
MS Word,45
Настройка ПК,43
Mac Os,43
CMake,42
MFC,42
Windows,42
Oracle Pl/SQL,41
ORACLE,41
iOS,41
Математическое моделирование,41
Lua,41
Networking,41
QML,40
Mercurial,40
Веб-программирование,39
JSON API,38
Perl,38
Поиск информации в интернет,37
Django Framework,37
Objective-C,36
Серверное программирование,36
Водительское удостоверение категории B,35
Ведение переговоров,35
GCC,35
Java SE,34
Bootstrap,34
Game Programming,34
HTTP,34
CorelDRAW,34
Xcode,33
Настройка ПО,32
Software Development,32
C++11,32
REST,32
Apache HTTP Server,32
Деловое общение,31
Arduino,31
Схемотехника электронного оборудования,31
Scrum,31
Ремонт ПК,31
С++,31
WinAPI,31
ARM,31
Object Pascal/Delphi,30
Коммуникабельность,30
Сборка ПК,30
Docker,29
Nginx,29
MongoDB,29
Работа с большим объемом информации,29
Администрирование серверов Windows,29
Unreal Engine 4,28
Настройка сетевых подключений,28
CMS Wordpress,27
Unix Shell Scripts,27
DirectX,26
Деловая переписка,26
Transact-SQL,26
Аналитическое мышление,26
Agile Project Management,25
Администрирование сетевого оборудования,25
Windows Os,25
Математическая статистика,25
Adobe Illustrator,25
Unreal Engine,25
3D Моделирование,25
Node.js,25
Turbo Pascal,24
VBA,24
OOP,24
JSON,24
Gnu C++,23
MS Outlook,23
Windows Xp,23
Умение работать в команде,22
CUDA,22
С#,22
FirebirdSQL,22
SFML,21
Администрирование,21
Работоспособность,21
Стрессоустойчивость,21
Управление персоналом,21
3D-графика,21
Entity Framework,21
1С: Предприятие 8,21
Latex,20
Intellij IDEA,20
Целеустремленность,20
Умение работать в коллективе,20
Redmine,20
Embarcadero Delphi,20
1С программирование,20
MS Visual Basic,20
Spring Framework,18
СУБД,18
SolidWorks,18
MS Visio,18
OpenCL,18
Shell Scripting,18
Грамотность,18
Joomla CMS,18
COM,18
Алгоритмы,17
cmake,17
Компас-3D,17
Blender 3D,17
Golang,17
STM32,17
