tag;val
Python;180
SQL;106
Data Mining;69
Математическая статистика;35
Анализ данных;29
C++;27
Английский язык;25
Математический анализ;23
Big Data;22
Git;21
Linux;21
MATLAB;20
Machine Learning;19
Data Analysis;19
MS SQL;18
Data Science;17
NLP;16
Базы данных;15
Статистический анализ;14
Математическое моделирование;14
R;14
Работа с базами данных;13
Математическое программирование;13
Английский — B2 — Средне-продвинутый;11
ML;11
TensorFlow;11
Аналитическое мышление;11
Pandas;10
Spark;10
Tensorflow;10
Hadoop;9
Статистика;9
Docker;9
PyTorch;8
machine learning;8
data science;8
DWH;7
Обучение и развитие;7
Работа в команде;7
PostgreSQL;7
Аналитические исследования;7
Hadoop BigData;6
Mathematical Statistics;6
OLAP DB;6
Kubernates;6
Английский — B1 — Средний;6
Data Lake;6
Системное мышление;6
Sas;6
Java;6
SCALA;6
MS Power BI;6
ORACLE;5
Английский — C1 — Продвинутый;5
MS Access;5
MongoDB;5
Oracle Pl/SQL;4
Deep Learning;4
Разработка технических заданий;4
Управление проектами;4
Tableau;4
Agile Project Management;4
Управление рисками;4
Бизнес-анализ;4
Machine learning;4
Keras;4
Прогнозирование;4
Project management;3
ETL;3
MS Excel;3
Pytorch;3
Airflow;3
Английский — A1 — Начальный;3
CRM;3
MS PowerPoint;3
MySQL;3
Teamleading;3
Clickhouse;3
Computer Vision;3
База данных: Oracle;3
Машинное обучение;3
hadoop;3
ООП;3
Statistica;2
WEB аналитика;2
Пользователь ПК;2
Регрессионный анализ;2
ml;2
AWS;2
Анализ рисков;2
AI;2
Data Scientist;2
Algebra;2
MS SQL Server;2
Финансовое моделирование;2
Natural Language Processing;2
Mathematical Analysis;2
C/C++;2
tensorflow;2
Mathematical Modeling;2
Веб-аналитика;2
Atlassian Jira;2
Analytical skills;2
Mathcad;2
XGBoost;2
Информационные технологии;2
Подготовка презентаций;2
Golang;2
Marketing technology;2
Advertising;2
Olap (online analytical processing);2
Numpy;2
MLFlow;2
Документооборот;2
Phyton;2
Latex;2
Скоринговая карта;1
Научные исследования;1
Многозадачность;1
Разработка рекомендательных систем;1
Участие в Тендерах;1
Scipy;1
Анализ финансовых показателей;1
Project Expert;1
XGboost;1
Кредиторская задолженность;1
Mac Os;1
CatBoost;1
MS Project Expert;1
Jupyter notebook;1
Data science;1
Визуализация;1
Mathematical Programming;1
ElasticSearch;1
количественные исследования;1
Риск-менеджмент;1
JavaScript;1
Экономическое моделирование;1
Немецкий — A1 — Начальный;1
supply chain;1
Numpy Pandas;1
CQL;1
RNN;1
CNN;1
Business Planning;1
Управление процессами;1
Работа с большим объемом информации;1
Hive;1
MS Visual Studio;1
NoSQL;1
Проведение презентаций;1
Телефонные переговоры;1
Эконометрика;1
Adobe Dreamweaver;1
Business English;1
S&OP;1
прогнозирование спроса;1
Конкурентная аналитика;1
Business intelligence;1
MS Project;1
neural network;1
Факторный анализ;1
Дисперсионный анализ;1
EViews;1
Power BI;1
A/B тесты;1
clickhouse;1
ARIS;1
Kubernetes;1
LightGBM;1
Annoy;1
NGS;1
биоинформатика;1
Apache Spark;1
теория вероятности;1
MS Visio;1
Оценка рисков;1
Statistical Analysis;1
Аналитика;1
Marchine Learning;1
Аналитический склад ума;1
Постановка задач разработчикам;1
Разработка ПО;1
Виды страхования;1
Консультирование;1
hive;1
Знание устройства автомобиля;1
natural language processing;1
neural networks;1
Algorithms;1
Trading Strategies;1
СУБД;1
pandas;1
AlterX;1
Отчетность;1
Маркетинговый анализ;1
kubernetes;1
Обучение персонала;1
Оптимизация бизнес-процессов;1
deep learning;1
gun;1
pytorch;1
computer vision;1
kafka;1
Маркетинговые исследования;1
Spark, Hadoop;1
Scikit-Learn;1
NER;1
Sklearn;1
DVC;1
нейронные сети;1
logistic regression;1
Тестирование;1
Методы анализа данных;1
Product Promotion;1
Сбор и анализ информации;1
Анализ рынка;1
Kafka;1
Map-reduce;1
IBM SPSS;1
Azure;1
Bluemix;1
word2vec;1
fasttext;1
BERT;1
СV;1
Управление разработкой;1
it;1
Pascal;1
администрирование БД;1
Инновационный менеджмент;1
IT;1
E-Commerce;1
Алгоритмы;1
Leadership Skills;1
Tableu;1
Analysis;1
Асинхронное программирование;1
Bloomberg;1
Math works;1
API;1
Системный анализ;1
BigQuery;1
NumPy;1
Gensim;1
Scikit-learn;1
PolyAnalyst;1
Time Series Analysis;1
Qlik Sense;1
