tag;val
Python;1157
SQL;744
Git;451
Data Analysis;357
Pandas;319
Linux;304
Математическая статистика;262
C++;256
Machine Learning;235
Анализ данных;231
Английский язык;219
MS Excel;197
Numpy;194
Data Mining;183
MATLAB;182
MySQL;176
PostgreSQL;160
Keras;156
Big Data;151
ООП;143
Machine learning;136
Java;133
Matplotlib;132
HTML;118
Статистический анализ;113
Математический анализ;111
R;111
pandas;109
Машинное обучение;105
Работа в команде;104
Математическое моделирование;101
JavaScript;101
MS PowerPoint;100
MS Office;100
PyTorch;92
numpy;92
Data Science;89
C#;89
NLP;87
Scikit-learn;87
CSS;84
NumPy;84
Bash;84
Deep Learning;84
C/C++;83
Tensorflow;77
Sklearn;77
Docker;75
MS SQL;74
sklearn;73
Аналитические исследования;72
Аналитическое мышление;71
Управление проектами;70
Mathematical Statistics;70
TensorFlow;66
Latex;66
Пользователь ПК;64
VBA;63
matplotlib;61
Django Framework;60
scikit-learn;60
ML;59
Spark;57
Flask;57
Базы данных;56
Ответственность;54
Seaborn;53
MongoDB;51
Analytical skills;51
MS Word;49
Adobe Photoshop;49
Pytorch;48
OpenCV;48
Работа с большим объемом информации;48
Hadoop;47
MS SQL Server;47
Грамотная речь;47
Atlassian Jira;47
Обучаемость;44
Tableau;44
machine learning;43
Организаторские навыки;43
PHP;42
Oracle Pl/SQL;42
Работа с базами данных;42
SciPy;41
Прогнозирование;38
Computer Vision;38
Deep learning;38
XGBoost;37
Математическое программирование;37
Jupiter;37
Statistics;36
Project management;35
HTML5;35
Jupyter Notebook;35
Scipy;35
Деловая переписка;34
Scikit-Learn;34
MS Visual Studio;33
Статистика;33
Presentation skills;33
tensorflow;32
Mathcad;32
AutoCAD;32
Power BI;31
Mathematical Analysis;31
MS Access;29
Теория вероятностей;29
seaborn;28
scipy;28
Qt;27
pytorch;27
Нейронные сети;26
Data science;26
keras;26
Коммуникабельность;26
Аналитический склад ума;26
Business Analysis;25
Регрессионный анализ;25
Time Series Analysis;25
Wolfram Matematica;25
Mathematical Modeling;25
Ведение переговоров;25
Написание научных статей;25
Regression Analysis;24
jQuery;24
Научные исследования;24
NoSQL;23
Sas;23
Работоспособность;23
LightGBM;23
Computer vision;23
CatBoost;22
XML;21
машинное обучение;21
Jupyter;21
Scrum;21
UML;21
Neural Networks;21
CNN;20
Visual Studio C#;20
Деловое общение;20
Проведение презентаций;20
C;20
MS Outlook;20
xgboost;19
Линейная алгебра;19
SCALA;19
NLTK;19
.NET Framework;19
Водительское удостоверение категории B;19
Cистемы управления базами данных;18
ORACLE;18
A/B тесты;18
Анализ временных рядов;18
SQLite;18
Natural Language Processing;18
CSS3;18
Statistica;17
Neural networks;17
Hive;17
Bootstrap;17
Управление персоналом;17
Unix;17
Руководство коллективом;16
SVN;16
Бизнес-анализ;16
Аналитика;16
Стрессоустойчивость;15
Исполнительность;15
SPSS;15
Умение работать в команде;15
Internet;15
PySpark;15
Stata;14
Обучение и развитие;14
deep learning;14
Деловая коммуникация;14
JSON API;14
Google Analytics;14
Agile Project Management;14
Подготовка презентаций;14
IBM SPSS;14
Jupyter notebook;14
Kaggle;13
Ориентация на результат;13
Android;13
Теория вероятности;13
Публичные выступления;13
MS Project;13
RNN;13
Разработка ПО;13
Business English;13
MapReduce;13
Mathematical Programming;13
Econometrics;12
Assembler;12
Ajax;12
Научная деятельность;12
MS Visio;12
SQL Server;12
Catboost;12
Microsoft Visual Studio;12
Целеустремленность;12
Data Mining: Statistica;12
Maple;12
Обучение персонала;12
PyCharm;12
data science;11
Software Development;11
Mac Os;11
Redis;11
Оптимизация бизнес-процессов;11
Информационные технологии;11
Data Visualization;11
Поиск информации в интернет;11
Data Mining: Business Analytica;10
CRM;10
computer vision;10
Financial Analysis;10
Разработка технических заданий;10
Transact-SQL;10
REST;10
Plotly;10
SolidWorks;10
hadoop;10
docker;10
PHP5;10
MS Visual Basic;10
Octave;10
Node.js;10
Microsoft Azure;9
Системный анализ;9
API;9
Компас-3D;9
Администрирование серверов Linux;9
Экономический анализ;9
Немецкий язык;9
Research;9
neural networks;9
EViews;9
Cluster Analysis;9
Умение работать в коллективе;9
Adobe Illustrator;9
RStudio;9
Team management;9
MS Visual C++;9
Яндекс.Метрика;9
catboost;9
Алгоритмы;9
Грамотность;9
Time management;9
Преподаватель;9
Delphi;8
Управление командой;8
Google Docs;8
Intellij IDEA;8
Negotiation skills;8
AWS;8
Управленческие навыки;8
Тестирование;8
AI;8
BPMN;8
Креативность;8
Databases;8
Eclipse;8
Xgboost;8
Визуализация данных;8
Random Forest;8
Teamplayer;8
нейронные сети;8
GitHub;8
СУБД;8
Кластерный анализ;8
GAN;8
Fortran;8
ETL;8
Web Application Development;8
Unit Testing;8
Leadership Skills;8
RabbitMQ;7
Data Mining: SPSS;7
Pascal;7
R language;7
Design Patterns;7
Обучение;7
BERT;7
Anaconda;7
Data Scientist;7
Selenium;7
Навыки презентации;7
React;7
SAP;7
Oracle 11G;7
Jenkins;7
Финансовый анализ;7
Исследовательский анализ данных;7
STL;7
Windows 7;7
Pycharm;7
plotly;7
Algorithms;7
Алгоритмы и структуры данных;7
Teamleading;7
EDA;7
Веб-программирование;7
R programming;7
Веб-аналитика;7
ASP.NET;7
Driving Licence B;7
Joomla CMS;6
Borland Delphi;6
Конференции;6
Численные методы;6
Nginx;6
Atlassian Confluence;6
Business intelligence;6
Unity;6
Teradata;6
TCP/IP;6
Risk management;6
iOS;6
1С: Предприятие 8;6
Haskell;6
Визуализация;6
Business Intelligence Systems;6
opencv;6
nltk;6
Communication skills;6
scikit learn;6
Visualisation;6
Gensim;6
ERP;6
Планирование;6
XGboost;6
Эконометрика;6
Системное мышление;6
База данных: Oracle;6
word2vec;6
Предобработка данных;6
Сбор и анализ информации;6
PowerBI;6
Probability Theory;6
Adobe Premier Pro;6
Interpersonal skills;5
Financial Modelling;5
torch;5
CorelDRAW;5
Windows;5
ITIL;5
Perl;5
теория вероятности;5
Быстрая обучаемость;5
Reinforcement learning;5
CMS Wordpress;5
Автоматизация;5
Math;5
Компьютерное зрение;5
Заключение договоров;5
networkx;5
MVC;5
lightgbm;5
Spacy;5
Images Processing;5
Azure;5
Apache Tomcat;5
RapidMiner;5
Access;5
Neural network;5
Gradient Boosting;5
SEO;5
Обработка естественного языка;5
Анализ рынка;5
A/B тестирование;5
Golang;5
R Programming;5
Java SE;5
Анализ финансовых показателей;5
Bloomberg;5
С#;5
Artificial Intelligence;5
Факторный анализ;5
Пунктуальность;5
jupyter notebook;5
Контроль качества;5
Pyspark;5
Text Mining;5
DNN;5
Probability theory;5
Linear Programming;5
SAP ERP;5
CV;5
statsmodels;5
Spring Framework;5
ClickHouse;5
Ruby On Rails;5
Logistic Regression;5
Solid Works;5
Marketing Analysis;5
Market Research;5
Анализ бизнес показателей;5
Подготовка отчетов;5
SAS Guide;5
Python 3;5
Ubuntu;5
Письменный перевод;5
Data visualization;4
Information Technology;4
BigQuery;4
Управленческая отчетность;4
Scikit Learn;4
Shell Scripting;4
Supervised Learning;4
