tag;val
JavaScript;1487
CSS;702
Git;680
HTML;592
HTML5;498
CSS3;409
jQuery;371
React;314
PHP;309
MySQL;303
Node.js;269
AngularJS;171
ООП;168
Bootstrap;131
SQL;125
PostgreSQL;119
TypeScript;114
Ajax;112
Английский — B1 — Средний;110
Redux;107
Sass;104
Less;102
Linux;94
1С-Битрикс;91
PHP5;84
REST;66
CMS Wordpress;61
Vue.js;60
MongoDB;60
Английский язык;58
Angular;58
Adobe Photoshop;53
MVC;52
Vue;51
react;51
Python;49
Английский — B2 — Средне-продвинутый;49
Веб-программирование;46
Typescript;44
Java;44
Yii;42
C#;42
React.js;42
Webpack;42
MS SQL;39
Atlassian Jira;38
ReactJS;37
Laravel;36
ASP.NET;33
Английский — A1 — Начальный;32
Кроссбраузерная верстка;31
Docker;29
Работа в команде;28
redux;28
Redis;27
Gulp;27
XML;26
Symfony;25
Angular 2+;25
Nginx;24
Верстка;24
vue.js;24
ES6;22
Управление проектами;21
MS SQL Server;21
Scrum;20
API;19
Английский — A2 — Элементарный;18
SCSS;18
Django Framework;17
Agile Project Management;17
webpack;16
VueJS;16
Английский — C1 — Продвинутый;16
UI;16
JSON API;15
GraphQL;15
RxJS;15
SPA;15
REST API;15
SVN;15
vue;15
Joomla CMS;15
PHP7;14
Frontend;14
React Native;14
typescript;13
Vuex;13
.NET Framework;13
Базы данных;12
SEO;12
JS;12
Создание сайтов;11
Пользователь ПК;11
UX;11
Разработка ПО;10
Unix;10
CRM;10
RESTful;10
phpMyAdmin;10
Администрирование сайтов;10
Figma;10
Ext JS;9
Redmine;9
laravel;9
Работа с базами данных;9
CI/CD;9
Design Patterns;9
Next.js;8
WebGL;8
Web Application Development;7
Entity Framework;7
Jetbrains Phpstorm;7
Bash;7
HTTP;7
UML;6
*NIX;6
Управление командой;6
web-development;6
Canvas;6
Android;6
Express;6
JSON;6
Адаптивная верстка;6
ES6+;6
Yii2;6
frontend;6
SOAP;6
Ruby On Rails;6
NoSQL;6
Nuxt.js;6
Adobe Illustrator;6
Jenkins;6
Drupal API;6
Информационные технологии;6
Backbone;6
Vue.JS;6
front-end;6
Express.js;5
Web;5
БЭМ;5
Mac Os;5
Разработка нового продукта;5
ReactJs;5
Умение работать в команде;5
Zend Framework;5
Codeigniter;5
Администрирование серверов Linux;5
NPM;5
SVG;5
Jest;5
SSR;5
RabbitMQ;5
Backend;5
ES5;4
FrontEnd;4
figma;4
Мобильность;4
C++;4
Преподаватель;4
Русский — C2 — В совершенстве;4
Unity;4
nuxt;4
Разработка технических заданий;4
Atlassian Confluence;4
MS Visual Studio;4
Teamleading;4
Грамотность;4
Elasticsearch;4
Spring Framework;4
React JS;4
Ruby;4
WebSockets;4
Unit Testing;4
Kubernetes;4
Sketch;4
ModX;4
Rest API;4
es6;4
Управление временем;4
Apache HTTP Server;4
Memcached;4
CorelDRAW;3
JavaScript ( Knockout );3
Front-end;3
Angular2+;3
VueJs;3
Saga;3
Hibernate ORM;3
Nest.js;3
BEM;3
С#;3
MS Movie Maker;3
Web-дизайн;3
ORM;3
Mercurial;3
ReactNative;3
Perl;3
npm;3
Microsoft Visual Studio;3
React.JS;3
Grunt;3
Elastic Search;3
D3.js;3
scss;3
Shopify;3
Stylus;3
react.js;3
Тестирование;3
Nuxt;3
WebPack;3
SOLID;3
Ubuntu Server;3
FreeBSD;3
yii2;3
Teambuilding;3
php 7;3
MobX;3
GSAP;3
