tag;val
PHP;1374
MySQL;1051
Git;873
JavaScript;713
ООП;586
HTML;466
CSS;453
Linux;330
PostgreSQL;314
jQuery;308
Yii;298
Symfony;292
SQL;274
Laravel;247
1С-Битрикс;241
PHP5;235
Redis;165
HTML5;163
Ajax;157
MVC;152
CSS3;124
Nginx;81
Bootstrap;75
MongoDB;73
PHP7;72
Docker;71
Веб-программирование;68
Английский — B1 — Средний;67
Node.js;66
RabbitMQ;64
Yii2;57
laravel;56
AngularJS;52
REST;51
CMS Wordpress;48
MS SQL;45
Английский язык;44
Английский — A1 — Начальный;41
XML;40
Zend Framework;39
Atlassian Jira;37
Английский — B2 — Средне-продвинутый;34
Работа в команде;34
Python;34
Unit Testing;32
Scrum;31
Java;30
Bitrix;29
API;29
Memcached;28
Backend;27
JSON API;24
ElasticSearch;23
MySQL 5.7;22
NoSQL;22
Английский — A2 — Элементарный;22
Magento;22
Golang;22
Vue.js;21
SVN;21
Less;21
Управление проектами;20
Битрикс24;20
Jetbrains Phpstorm;19
Go;18
Design Patterns;18
Unix;17
PHPUnit;17
HTTP;16
PHP 7;16
SOAP;15
Немецкий язык;14
Apache HTTP Server;14
Kibana;14
React;14
Agile Project Management;14
GoogleBigQuery;13
NewRelic;13
Битрикс;13
AWS;13
CRM;13
Zabbix;13
Asterisk;13
WebRTC;13
Sphinx;13
docker;12
Cистемы управления базами данных;12
WEB;11
Bitrix framework;11
Angular;11
BPM;11
Web Application Development;10
Пользователь ПК;10
SOLID;10
phpMyAdmin;10
Разработка технических заданий;9
Разработка ПО;9
Управление командой;9
yii2;9
Kubernetes;9
Работа с базами данных;9
Atlassian Confluence;9
Team management;9
Английский — C1 — Продвинутый;9
CI/CD;8
СУБД;8
Drupal API;8
Vue;8
E-Commerce;8
Codeigniter;8
JS;8
Базы данных;8
Teamleading;8
Redmine;8
Lumen;7
Постановка задач разработчикам;7
php7;7
Создание сайтов;7
SEO;7
kafka;7
ORACLE;7
Elasticsearch;7
Lavarel;7
Adobe Photoshop;7
ClickHouse;7
C++;7
Bash;7
Грамотная речь;6
ERP;6
TDD;6
MODx;6
Gulp;6
ORM;6
Мобильность;6
REST API;6
Apache Maven;6
Mercurial;6
Администрирование серверов Linux;6
C#;6
Sass;5
Amazon Web Services;5
CMS;5
PSR;5
Ориентация на результат;5
k8s;5
Yii Framework;5
vue;5
Joomla CMS;5
Phalcon;5
golang;5
Jenkins;5
Symphony;5
Apache;5
Kafka;5
Управление временем;4
Backbone;4
JSON;4
Тестирование;4
Composer;4
Webpack;4
Разработка CMS;4
Time management;4
Mac Os;4
Умение работать в коллективе;4
Русский — C2 — В совершенстве;4
Avid Media Composer;4
Figma;4
CentOS;4
GitLab;4
Битрикс 24;4
VueJS;4
Обучение и развитие;4
Debian;4
Development;4
Многозадачность;3
Планирование карьеры;3
React js;3
Управление разработкой;3
Redux;3
Ext JS;3
Тайм-менеджмент;3
Jira;3
Поиск информации в интернет;3
Bitrix24;3
Администрирование сайтов;3
Android;3
Работа с людьми;3
SOA;3
RESTful;3
webpack;3
MS Office;3
Kanban;3
Gitlab;3
MSSQL;3
bitrix;3
Microservices;3
Microsoft Access;3
Rest API;3
DDD;3
Data Analysis;3
Информационные технологии;3
Agile;3
Nuxt;3
Highload;3
Гибкость;3
Верстка;3
clickhouse;3
magento 2;3
backend;3
Smarty;3
Организация учебного процесса;3
Ответственность;3
TeamCity;3
Frontend;3
LAMP;3
Opencart;3
Leadership Skills;3
Кроссбраузерная верстка;3
ActiveMQ;3
Микросервисы;3
vue.js;3
Payments;3
MariaDB;3
Code Optimization;3
1C-Bitrix;3
Gitflow;2
php7+;2
Drupal;2
Modx Revolution;2
C/C++;2
Web-дизайн;2
Turbo Pascal;2
Subversion;2
Django Framework;2
LEMP;2
Управление персоналом;2
Организаторские навыки;2
Pascal;2
Back-end;2
Project management;2
Корпоративная этика;2
PHP modules;2
Discord;2
Oracle Pl/SQL;2
Rabbit MQ;2
Яндекс.Директ;2
opencart;2
Обучение;2
1С: Предприятие;2
умение работать в команде;2
Framework;2
Системная интеграция;2
SPA;2
GO;2
doker;2
PHP7+;2
Clickhouse;2
Работа с большим объемом информации;2
SQL (MySQL, Postgres, Oracle);2
Ruby On Rails;2
CMS Bitrix;2
Apache Kafka;2
PHP 7.2;2
Аналитическое мышление;2
NixOS;2
VSTS;2
Интернет-реклама;2
CS-Cart;2
РНР;2
SCSS;2
TCP/IP;2
UI;2
Проектный менеджмент;2
CMS 1С Битрикс;2
Проектирование ПО;2
Code review;2
Google Docs;2
Bitrix Framework;2
WebSockets;2
SaaS;2
GDS;2
D7;2
MODX;2
Разработка концепции;2
AllFusion ERwin Data Modeler;2
Architecture;2
MS Visio;2
OpenCart;2
Asana;2
Codeception;2
Разработка сайтов;2
Английский — B1 — Средний;2
iOS;2
1С программирование;2
Ubuntu Server;2
Разработка нового продукта;2
GraphQL;2
Архитектура;2
ReactJS;2
VCS;1
Doker;1
full stack;1
Поисковые системы;1
NPM;1
symfony3;1
База данных: Oracle;1
Business English;1
drupal;1
Разработка инструкций;1
Планирование;1
битрикс;1
OctoberCMS;1
.NET Framework;1
