tag;val
MySQL;2830
PHP;2733
JavaScript;2525
jQuery;2135
HTML;2034
CSS;1960
Git;1939
ООП;1495
HTML5;1442
Ajax;1441
CSS3;1257
PHP5;1208
Linux;1171
Bootstrap;1027
SQL;1019
MVC;738
CMS Wordpress;697
Yii;682
Adobe Photoshop;640
Laravel;629
PostgreSQL;566
Веб-программирование;481
XML;472
Nginx;413
phpMyAdmin;401
Symfony;374
Apache HTTP Server;367
1С-Битрикс;358
Joomla CMS;341
Python;280
SVN;276
Jetbrains Phpstorm;273
Redis;267
Java;267
Docker;250
MS SQL;247
REST;237
Управление проектами;231
Yii2;229
C#;225
Node.js;224
MongoDB;212
JSON API;208
C++;206
SEO;198
AngularJS;177
Zend Framework;177
Memcached;150
PHP7;148
Codeigniter;146
Atlassian Jira;144
Английский язык;142
Пользователь ПК;139
Администрирование серверов Linux;138
Работа в команде;135
API;128
Sass;127
Администрирование сайтов;126
laravel;120
CorelDRAW;115
Smarty;114
Vue.js;103
RabbitMQ;102
JSON;99
Less;99
PHPUnit;98
SOAP;97
Создание сайтов;94
Adobe Illustrator;92
Design Patterns;92
Delphi;89
Sphinx;83
Ведение переговоров;81
Drupal API;80
Управление персоналом;80
Ответственность;78
MS SQL Server;76
Bash;76
Composer;76
Web Application Development;76
Разработка ПО;75
Работа с базами данных;75
MS PowerPoint;74
PHP4;73
Windows 7;72
Unix;71
Gulp;69
Mercurial;66
ORACLE;66
Scrum;66
React;64
Vue;62
Cистемы управления базами данных;62
Настройка ПК;62
CRM;62
Unit Testing;61
Базы данных;60
Организаторские навыки;60
Управление интернет-проектами;59
Кроссбраузерная верстка;58
Django Framework;58
MS Visual Studio;54
MS Office;54
Visual Studio C#;54
Redmine;54
HTTP;54
Грамотная речь;53
SQLite;53
Android;53
C/C++;53
MS Access;51
Обучаемость;51
Magento;49
Oracle Pl/SQL;48
Ubuntu Server;46
HTML-верстка;46
MS Excel;46
Debian;45
Администрирование;45
Borland Delphi;43
Работоспособность;42
OpenCart;42
Администрирование серверов Windows;41
VueJS;41
Верстка;40
Codelgniter Framework;39
LAMP;39
Обучение персонала;39
yii2;39
Vkontakte Api;38
Разработка CMS;38
Исполнительность;38
Ремонт ПК;38
Facebook API;38
Pascal;38
Agile Project Management;37
Web-дизайн;37
Ubuntu;36
Android SDK;35
NetBeans;35
CentOS;35
ASP.NET;35
Perl;35
ElasticSearch;35
CSS-верстка;35
Backbone;34
Деловая переписка;34
руководство командой разработчиков;34
XML/Xslt;34
Teamleading;34
Golang;34
NoSQL;34
MS Word;34
Google API;33
Администрирование сетевого оборудования;33
Веб-дизайн;33
Сборка ПК;32
Поиск информации в интернет;32
Настройка сетевых подключений;32
SOLID;32
Internet;32
Настройка серверов Apache;32
Ext JS;32
SEO оптимизация;31
AutoCAD;31
Phalcon;31
.NET Framework;31
Doctrine;31
Водительское удостоверение категории B;31
docker;30
Jenkins;30
Настройка ПО;30
Коммуникабельность;30
ORM;29
JS;29
Webpack;29
Vagrant;29
MS Outlook;29
Opencart;28
Аналитическое мышление;28
FirebirdSQL;28
Twig;28
TDD;28
MS Visual Basic;27
Целеустремленность;27
Деловое общение;27
Mac Os;26
Умение работать в команде;26
Angular;25
Web Design;25
Руководство коллективом;25
Kohana;25
Elasticsearch;25
Управление командой;25
Unity;24
OOP;24
Codeception;24
1С: Предприятие 8;24
Грамотность;24
FreeBSD;24
Интернет-реклама;24
ReactJS;24
Стрессоустойчивость;23
Microsoft Visual Studio;23
Поисковая оптимизация сайтов;23
Assembler;23
Turbo Pascal;23
Техническое обслуживание;22
Spring Framework;22
VBA;22
Embarcadero Delphi;22
Go;22
Object Pascal/Delphi;22
1С программирование;22
Redux;22
Laravel 5;22
Qt;22
Постановка задач разработчикам;22
Google Analytics;21
Яндекс.Метрика;21
Active Directory;21
Google Maps Api;21
vue.js;21
Ruby On Rails;21
Настройка DNS;21
php7;21
Наполнение контентом;20
Продвижение сайтов;20
TCP/IP;20
UML;20
Серверное программирование;20
SCSS;20
Yandex Maps API;19
REST API;19
Яндекс.Директ;19
Информационные технологии;19
Asterisk;19
Unix Shell Scripts;19
1C: Бухгалтерия;18
СУБД;18
Visual Basic;18
Техническая поддержка;18
Flask;18
modx;17
Java SE;17
Project management;17
Adobe InDesign;17
iOS;17
Intellij IDEA;17
MS Visual C++;17
Проведение презентаций;16
TypeScript;16
Работа с большим объемом информации;16
Transact-SQL;16
Адаптивная верстка;16
Eclipse;16
Поиск и привлечение клиентов;16
Windows Xp;16
Drupal;16
Пунктуальность;16
Apache;16
Twitter Api;16
Ruby;16
composer;15
Тестирование;15
Телефонные переговоры;15
Управление продажами;15
Администрирование серверов;15
Borland C++;15
Windows Os;15
Google AdWords;15
Разработка технических заданий;15
YII2;15
vue;15
CMS;15
Умение работать в коллективе;14
Точность и внимательность к деталям;14
C;14
Vuejs;14
Behat;14
MODx;14
DHCP;14
Windows Server 2003;14
js;14
ES6;14
Yii 2;14
AWS;14
Selenium IDE;14
opencart;13
Настройка серверов;13
Internet Marketing;13
VueJs;13
Ansible;13
Symfony 2;13
Atlassian Confluence;12
Активные продажи;12
Аналитический склад ума;12
amoCRM;12
PHP 7;12
Figma;12
Flash Actionscript;12
Hibernate ORM;12
PDO;12
VoIP;12
MariaDB;12
XHTML;12
React.js;12
Java EE;12
Информационная безопасность;12
GitLab;12
База данных: Oracle;12
Обучение и развитие;12
Блочная верстка;12
Lumen;12
SPA;12
Subversion;11
CoffeeScript;11
DDD;11
Jira;11
Visual C++;11
Adobe After Effect;11
ModX;11
Vuex;11
Gearman;11
Swagger;11
Adobe Dreamweaver;11
webpack;11
IIS;11
Google Docs;11
Zabbix;11
MODX;11
Контекстная реклама;11
WPF;11
GitHub;11
Bitrix;11
Bitbucket;11
twig;11
Копирайтинг;10
MSSQL;10
Холодные продажи;10
Заключение договоров;10
Обучение;10
Apache Maven;10
E-Commerce;10
Работа с оргтехникой;10
PSR;10
Selenium;10
Php7;10
XPath;10
Windows Server;10
Windows;10
Ориентация на результат;10
Математический анализ;10
Математическое программирование;10
3D Моделирование;10
Настройка VPS/VDS серверов;10
highload;10
Анализ данных;10
Adobe Premier Pro;10
Apache Tomcat;10
Modx;10
Windows Server 2008 R2;10
DLE;10
JSP;9
UI;9
GIMP;9
Деловая коммуникация;9
Adobe Flash;9
SSH;9
Работа с людьми;9
Консультирование;9
Навыки продаж;9
React Native;9
ClickHouse;9
Управление разработкой;9
MATLAB;9
WebSocket;9
Прямые продажи;9
Cisco;9
Flex;9
MS Dos;9
Js;9
Продажи через интернет;9
Подбор персонала;9
Laravel Framework;9
Vue js;8
TeamCity;8
MySQL GUI Tools;8
Big Data;8
GraphQL;8
Слепая печать;8
Software Development;8
Графический дизайн;8
Kubernetes;8
PSR-4;8
October CMS;8
Lua;8
Blender 3D;8
phalcon;8
Autodesk 3ds Max;8
Bitrix Api;8
Творческое мышление;8
Системы видеонаблюдения;8
kohana;8
Windows Forms;8
Креативность;8
MS Visio;8
Prestashop;8
Shop Script;8
VMware;8
С#;8
npm;8
CMS OpenCart;8
Doctrine 2;8
Shell Scripting;8
Silex;8
ExtJS;8
SQL Server;8
Проектирование;8
Поисковые системы;8
Разработка концепции;8
Windows Server 2012;8
vagrant;8
Oracle 11G;7
Интернет маркетинг;7
Woocommerce;7
Microsoft Access;7
Cordova;7
Bitrix24;7
Веб-аналитика;7
ERP;7
Django;7
Entity Framework;7
Yii framework;7
drupal;7
Team management;7
Автоматизация;7
3ds Max;7
Функциональное тестирование;7
codeception;7
Prototype Js;7
Firebase;7
golang;7
SMM;7
Развитие продаж;7
Twitter Bootstrap;7
CakePHP;7
Windows 8;7
Навыки презентации;7
Symfony2;7
Objective-C;7
Slim;7
Оптимизация кода;7
json;7
B2B Продажи;7
Kotlin;7
DevOps;7
Nuxt.js;7
Wordpress;7
Организация мероприятий;7
Networking;6
Laravel5;6
SEO-копирайтинг;6
1С: Управление Торговлей;6
FTP;6
Тестирование пользовательского интерфейса;6
Java Servlets;6
XML Dom;6
Системное мышление;6
Kanban;6
Vue.JS;6
Мобильность;6
vuejs;6
Битрикс24;6
NPM;6
Социальные сети;6
Highload;6
Обновление конфигурации 1С;6
ADO.NET;6
Проектирование пользовательских интерфейсов;6
Анализ посещаемости сайтов;6
Vue JS;6
Валидная верстка;6
WordPress;6
Обработка изображений;6
Payments;6
Разработка нового продукта;6
Организационные навыки;6
Swift;6
БЭМ;6
Аналитические исследования;6
Blade;6
Sony Vegas;6
Офисная техника;6
адаптивная верстка;6
Графические редакторы;6
Cassandra;6
Оптимизация бизнес-процессов;6
CMS Drupal;6
Системный подход;6
Symfony 3;6
Статистический анализ;6
Программирование;6
Баннерная реклама;6
Solr;5
Государственные закупки;5
Мини-АТС;5
Symfony 4;5
Yandex Direct;5
VPN;5
Расстановка приоритетов;5
Pug;5
Youtube Api;5
Xdebug;5
LARAVEL;5
Blockchain;5
Электронный документооборот;5
Typescript;5
Ionic;5
1С: Бухгалтерия;5
1C;5
HTML/CSS;5
Усидчивость;5
RESTful API;5
PHPbb3;5
Code Optimization;5
JDBC;5
Mathcad;5
PowerShell;5
Системное администрирование;5
Компас-3D;5
React JS;5
Doctrine ORM;5
PHP3;5
Настройка почтовых серверов;5
BPMN;5
Adobe Premier;5
Электронная почта;5
Лидерские качества;5
Дизайн;5
Scss;5
cordova;5
ASP.NET MVC;5
ReactJs;5
Windows Vista;5
Бизнес-анализ;5
Memcache;5
Yii Framework;5
CI/CD;5
PhoneGap;5
Быстрая обучаемость;5
CorelDRAW Photo Draw;5
Kohana Framework;5
Adobe Lightroom;5
Работа с документами;5
Монтаж оборудования;5
Средства криптографической защиты информации;5
CMS Opencart;5
Коммуникативные навыки;5
Оптимизация запросов;5
LINQ;5
Способность обучать других;5
Написание статей;5
memcache;5
Техническая документация;5
SolidWorks;4
CMS ModX;4
Автоматизация технологических процессов;4
Gitlab;4
Управление временем;4
1С: Предприятие;4
Java Script;4
Flash;4
Ремонтные работы;4
UX;4
Adobe Design;4
Slack;4
Документальное сопровождение;4
3 группа по электробезопасности;4
cakephp;4
Разработка сайтов;4
Virtualization;4
MQL;4
Adobe CS;4
Telegram API;4
Видеомонтаж;4
Табличная верстка;4
Инициативность;4
умение работать в команде;4
socket.io;4
Trello;4
1C: Зарплата и кадры;4
B2C продажи;4
LAN;4
Angular 2+;4
Преподаватель;4
Антивирусная защита сети;4
Varnish;4
Magento 2;4
CMS Modx;4
Laravel framework;4
нормативно-техническая документация;4
GoLang;4
Drupal CMS;4
BEM;4
CMS Simpla;4
1С: Зарплата и управление персоналом;4
LDAP;4
WebRTC;4
Drupal 7;4
Консультирование клиентов;4
Hyper-V;4
Arduino;4
Nuxt;4
Kafka;4
