tag;val
Python;3180
Git;2104
Django Framework;1649
Linux;1632
SQL;1431
HTML;1214
PostgreSQL;1133
CSS;1128
JavaScript;1063
MySQL;1005
ООП;951
HTML5;700
Flask;639
CSS3;485
Docker;483
jQuery;430
C++;426
Bootstrap;399
Английский язык;350
Nginx;321
Bash;301
Java;285
REST;268
MongoDB;266
C#;259
Работа в команде;256
PHP;246
Redis;241
Ajax;227
Adobe Photoshop;225
Пользователь ПК;198
SQLite;198
Ответственность;182
Обучаемость;174
C/C++;168
Администрирование серверов Linux;164
MS SQL;154
Pandas;154
Celery;153
XML;148
API;142
RabbitMQ;127
Веб-программирование;126
MS Excel;124
Atlassian Jira;119
Django;118
Управление проектами;115
Грамотная речь;112
Qt;110
MS PowerPoint;110
JSON API;107
Базы данных;103
Unit Testing;102
Работоспособность;100
Исполнительность;99
Организаторские навыки;95
Коммуникабельность;89
MS Office;88
Data Analysis;87
MVC;87
CMS Wordpress;86
Numpy;81
Unix;77
SVN;77
MATLAB;76
Node.js;75
Ведение переговоров;75
MS Word;75
AutoCAD;74
React;74
TCP/IP;72
PHP5;71
AngularJS;71
Windows 7;71
Анализ данных;71
MS Visual Studio;69
Django Rest Framework;69
Apache HTTP Server;68
Стрессоустойчивость;67
HTTP;67
Работа с базами данных;64
SQLAlchemy;63
Selenium;63
Работа с большим объемом информации;63
Mac Os;63
aiohttp;63
MS SQL Server;62
Деловая переписка;61
PyCharm;61
Разработка ПО;60
Администрирование серверов Windows;59
Аналитическое мышление;59
DRF;58
Scrum;58
pandas;56
Настройка ПК;55
Big Data;54
Keras;53
asyncio;53
Математическая статистика;53
Деловое общение;52
Водительское удостоверение категории B;52
OpenCV;51
Oracle Pl/SQL;51
Управление персоналом;50
C;50
Internet;50
Математический анализ;49
NumPy;49
.NET Framework;49
Администрирование сетевого оборудования;49
Поиск информации в интернет;48
JSON;48
Machine Learning;48
Android;47
Ubuntu;47
Web Application Development;46
AWS;45
docker;45
Selenium IDE;44
