tag;val
SCALA;65
Java;34
SQL;13
Akka;12
Linux;12
Git;10
Spark;10
Python;8
ООП;8
PostgreSQL;6
Play;5
Английский — C1 — Продвинутый;5
Kafka;5
Docker;4
Java SE;4
Cassandra;4
Kubernetes;4
Scrum;4
MongoDB;3
СУБД;3
Английский язык;3
Разработка ПО;3
Cats;3
Базы данных;3
hadoop;3
Atlassian Jira;2
Big Data;2
TypeScript;2
Angular 7;2
Akka Streams;2
Hadoop;2
ELK;2
Leadership Skills;2
JavaScript;2
JUnit;2
Jenkins;2
gRPC;2
Protobuf;2
Веб-программирование;2
Английский — A1 — Начальный;2
REST;2
NoSQL;2
kafka;2
Websockets;2
Apache Spark;1
Работа в команде;1
HTTP;1
Bash;1
MPP-база;1
Akka HTTP;1
CI/CD;1
Английский — B2 — Средне-продвинутый;1
MS SQL;1
Tagless Final;1
CQRS;1
RocksDB;1
Kotlin;1
cats;1
RabbitMQ;1
REST API;1
Информационные технологии;1
MySQL;1
Spring Framework;1
AWS;1
Agile Project Management;1
Reactive Streams;1
IBM;1
akka;1
fs2;1
HTML;1
Java EE;1
No SQL DB;1
Информационная безопасность;1
Расчет зарплаты;1
C#;1
Английский — B1 — Средний;1
algorithms;1
data structures;1
Cистемы управления базами данных;1
Spray;1
Slick;1
http4s;1
Doobie;1
zio;1
Elasticsearch;1
Управленческие навыки;1
MS SQL Server;1
DWH;1
data lake;1
hive;1
developer;1
impala;1
Apache Kafka;1
jQuery;1
Hive;1
HDFS;1
Управление разработкой;1
fintech;1
