Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,17.730000,17.840000,17.150000,17.250000,15.502810,278100
2005-01-04,17.280001,17.400000,16.420000,16.559999,14.882699,402800
2005-01-05,16.580000,16.990000,16.280001,16.360001,14.702950,353500
2005-01-06,16.459999,16.709999,16.370001,16.400000,14.738904,346800
2005-01-07,16.549999,16.549999,16.160000,16.190001,14.550176,319700
2005-01-10,16.090000,16.610001,16.090000,16.450001,14.783838,367700
2005-01-11,16.450001,16.450001,16.090000,16.160000,14.523211,248800
2005-01-12,16.600000,16.950001,16.360001,16.600000,14.918650,558700
2005-01-13,16.750000,16.780001,16.330000,16.500000,14.828776,554900
2005-01-14,16.600000,16.750000,16.330000,16.650000,14.963583,387100
2005-01-18,16.559999,16.860001,16.510000,16.730000,15.035480,305900
2005-01-19,16.629999,16.740000,16.360001,16.549999,14.873708,344800
2005-01-20,16.549999,16.670000,16.290001,16.400000,14.738904,388700
2005-01-21,16.400000,16.799999,16.299999,16.459999,14.792827,352500
2005-01-24,16.530001,16.650000,16.049999,16.090000,14.460302,272700
2005-01-25,16.400000,16.570000,16.250000,16.500000,14.828776,232800
2005-01-26,16.719999,16.840000,16.430000,16.840000,15.134338,291900
2005-01-27,16.840000,17.110001,16.639999,17.080000,15.350024,309600
2005-01-28,16.980000,17.000000,16.690001,16.930000,15.215221,395200
2005-01-31,16.990000,17.490000,16.950001,17.459999,15.691542,771600
2005-02-01,17.459999,17.730000,17.200001,17.639999,15.853312,1429100
2005-02-02,17.799999,18.620001,17.770000,18.620001,16.734045,2913000
2005-02-03,18.520000,18.709999,18.410000,18.639999,16.752024,830000
2005-02-04,18.600000,18.920000,18.459999,18.900000,16.985682,494200
2005-02-07,18.799999,18.950001,18.719999,18.879999,16.967714,481700
2005-02-08,18.719999,18.879999,18.680000,18.850000,16.940756,284100
2005-02-09,18.850000,19.070000,18.750000,18.950001,17.030619,866100
2005-02-10,18.860001,19.110001,18.730000,19.020000,17.093533,325900
2005-02-11,19.020000,19.200001,18.900000,19.100000,17.165422,236100
2005-02-14,19.200001,19.200001,18.990000,19.120001,17.183405,272200
2005-02-15,19.110001,19.469999,19.030001,19.350000,17.390106,396000
2005-02-16,19.250000,19.400000,19.160000,19.280001,17.327198,329500
2005-02-17,19.379999,19.559999,19.139999,19.209999,17.264290,293900
2005-02-18,19.309999,19.680000,19.190001,19.660000,17.668709,313700
2005-02-22,19.670000,19.670000,18.730000,18.730000,16.832901,427900
2005-02-23,18.830000,19.270000,18.799999,18.840000,16.931763,437400
2005-02-24,18.850000,19.400000,18.850000,19.400000,17.435043,399700
2005-02-25,19.400000,19.969999,19.389999,19.969999,17.947309,438900
2005-02-28,19.990000,20.049999,19.459999,19.620001,17.632757,440500
