Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,28.990000,29.165001,28.830000,28.980000,22.465683,5378200
2005-01-04,28.980000,29.084999,28.375000,28.375000,21.996668,6057800
2005-01-05,28.379999,28.540001,28.084999,28.135000,21.810619,5359000
2005-01-06,28.160000,28.379999,27.950001,28.225000,21.880392,6147600
2005-01-07,28.485001,28.500000,28.275000,28.330000,21.961790,5048000
2005-01-10,28.174999,29.035000,28.145000,28.920000,22.419163,7778400
2005-01-11,28.674999,29.030001,28.674999,28.790001,22.318390,6683400
2005-01-12,28.715000,28.900000,28.420000,28.690001,22.256334,6491200
2005-01-13,28.590000,28.725000,28.150000,28.219999,21.891724,6117000
2005-01-14,28.370001,28.594999,28.225000,28.434999,22.058506,4950200
2005-01-18,28.250000,28.730000,28.205000,28.719999,22.279602,4034600
2005-01-19,28.670000,28.799999,28.535000,28.565001,22.159363,3317600
2005-01-20,28.495001,28.600000,27.955000,28.125000,21.818027,6339000
2005-01-21,28.084999,28.225000,27.905001,27.955000,21.686152,5862200
2005-01-24,28.125000,28.135000,27.535000,27.545000,21.368093,6224000
2005-01-25,27.650000,27.980000,27.650000,27.825001,21.585302,5905200
2005-01-26,28.075001,28.209999,27.910000,28.020000,21.736574,5533400
2005-01-27,28.049999,28.100000,27.855000,27.955000,21.686152,5112800
2005-01-28,27.950001,28.184999,27.825001,28.090000,21.790876,4436000
2005-01-31,28.500000,28.670000,28.450001,28.495001,22.105049,6085200
2005-02-01,28.600000,28.615000,28.320000,28.540001,22.139963,6116600
2005-02-02,28.600000,28.650000,28.465000,28.650000,22.225300,4308200
2005-02-03,28.549999,28.705000,28.475000,28.635000,22.213659,4124200
2005-02-04,28.639999,29.325001,28.639999,29.325001,22.748940,5102800
2005-02-07,29.275000,29.700001,29.225000,29.475000,22.865294,5531400
2005-02-08,29.389999,29.495001,29.275000,29.355000,22.772202,5055800
2005-02-09,29.275000,29.490000,28.895000,28.934999,22.446390,4795800
2005-02-10,28.965000,29.600000,28.959999,29.525000,22.904078,6347200
2005-02-11,29.500000,29.985001,29.270000,29.799999,23.117411,6444800
2005-02-14,29.719999,29.764999,29.475000,29.549999,22.923471,3444400
2005-02-15,29.540001,29.740000,29.475000,29.600000,22.962263,3426000
2005-02-16,29.605000,29.815001,29.385000,29.754999,23.082512,5577000
2005-02-17,29.745001,29.775000,29.280001,29.565001,22.935110,4342600
2005-02-18,29.565001,29.625000,29.250000,29.375000,22.787716,6873400
2005-02-22,29.049999,29.135000,28.660000,28.764999,22.314522,7979400
2005-02-23,28.750000,29.250000,28.375000,28.950001,22.458023,11303400
2005-02-24,29.200001,29.600000,28.670000,29.584999,22.950626,8866000
2005-02-25,29.535000,29.570000,29.260000,29.500000,22.884697,7924000
2005-02-28,29.344999,29.650000,29.295000,29.389999,22.799353,8190400
2005-03-01,29.309999,29.540001,29.010000,29.174999,22.632563,9082200
2005-03-02,28.875000,29.200001,28.825001,29.014999,22.508451,10534400
2005-03-03,29.025000,29.254999,28.950001,29.049999,22.535601,7408800
2005-03-04,29.125000,29.155001,28.850000,29.100000,22.574385,6044200
2005-03-07,28.975000,29.205000,28.885000,28.975000,22.477421,6056600
2005-03-08,28.805000,28.990000,28.705000,28.875000,22.399845,5759600
2005-03-09,28.725000,28.815001,28.504999,28.600000,22.186514,5875000
2005-03-10,28.584999,28.920000,28.580000,28.825001,22.361059,5252600
2005-03-11,28.750000,28.985001,28.684999,28.825001,22.361059,3857200
2005-03-14,28.799999,28.844999,28.520000,28.740000,22.295113,4632200
2005-03-15,28.799999,28.834999,28.610001,28.785000,22.330021,4805200
2005-03-16,28.625000,28.725000,28.450001,28.684999,22.252451,4914000
2005-03-17,28.605000,28.690001,28.504999,28.590000,22.178751,5385200
2005-03-18,28.594999,28.754999,28.334999,28.504999,22.112810,8504200
2005-03-21,28.385000,28.440001,28.049999,28.280001,21.938272,4782200
2005-03-22,28.280001,28.500000,28.059999,28.125000,21.818027,5954000
2005-03-23,28.125000,28.410000,27.865000,28.264999,21.926634,7925600
2005-03-24,28.264999,28.594999,28.200001,28.405001,22.035248,7159400
2005-03-28,28.410000,29.000000,28.405001,28.860001,22.388206,7795000
2005-03-29,28.750000,28.820000,28.365000,28.430000,22.054626,8395000
2005-03-30,28.405001,28.695000,28.379999,28.445000,22.066267,5592000
2005-03-31,28.495001,28.705000,28.389999,28.545000,22.143847,6872800
2005-04-01,28.650000,28.680000,27.930000,28.094999,21.794758,9842400
2005-04-04,28.150000,28.375000,27.785000,28.235001,21.903358,5932200
2005-04-05,28.235001,28.535000,28.025000,28.415001,22.042999,4765400
2005-04-06,28.424999,28.490000,28.225000,28.254999,21.918871,6238800
2005-04-07,28.200001,28.315001,27.760000,28.170000,21.852940,8025600
2005-04-08,27.799999,28.055000,27.285000,27.405001,21.259483,11800000
2005-04-11,27.250000,27.485001,27.190001,27.235001,21.127609,6583200
2005-04-12,27.135000,27.754999,27.075001,27.655001,21.453423,8621400
2005-04-13,27.514999,27.705000,26.750000,26.905001,20.886713,11346600
2005-04-14,26.905001,26.905001,26.385000,26.420000,20.510208,8278200
2005-04-15,26.100000,26.250000,25.815001,25.820000,20.044416,8075600
2005-04-18,25.850000,26.565001,25.825001,26.530001,20.595594,8819800
2005-04-19,26.450001,26.545000,26.195000,26.299999,20.417040,6519400
2005-04-20,26.174999,26.334999,25.655001,25.750000,19.990076,8513600
2005-04-21,26.100000,26.295000,25.879999,26.139999,20.292841,5969800
2005-04-22,26.150000,26.240000,25.815001,25.940001,20.137575,6196000
2005-04-25,26.150000,26.450001,25.990000,26.014999,20.195793,4801400
