Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,32.479546,32.825676,32.300190,32.410320,22.577888,7464486
2005-01-04,32.410320,32.608559,32.035873,32.035873,22.317041,7562687
2005-01-05,32.133415,32.331654,31.718061,31.796728,22.150442,7554424
2005-01-06,31.718061,32.101952,31.692888,31.815607,22.163605,6265109
2005-01-07,31.859659,31.938326,31.252359,31.472624,21.924671,5842435
2005-01-10,31.419132,31.790434,31.264948,31.384520,21.863291,6066484
2005-01-11,31.214600,31.702330,31.214600,31.516678,21.955353,5552919
2005-01-12,31.544996,32.174324,31.472624,32.076778,22.345535,9193954
2005-01-13,32.076778,32.127125,31.529264,31.655128,22.051809,5377176
2005-01-14,31.655128,32.205791,31.655128,31.762115,22.126331,4775263
2005-01-18,31.639397,32.284454,31.623663,32.158588,22.402527,6381106
2005-01-19,32.095657,32.205791,31.730648,31.796728,22.150442,4595388
2005-01-20,31.718061,31.954060,31.183134,31.397104,21.872059,9314718
2005-01-21,31.702330,31.982380,31.371931,31.491505,21.937817,9786333
2005-01-24,31.554438,31.570169,31.132788,31.151669,21.701082,6294982
2005-01-25,31.268093,31.765261,31.157961,31.334171,21.828211,6881959
2005-01-26,31.387665,31.796728,31.315292,31.724356,22.100029,7213107
2005-01-27,31.576464,32.300190,31.308998,32.146004,22.393761,8387695
2005-01-28,32.149151,32.388294,31.793581,32.095657,22.358681,7116813
2005-01-31,32.098804,32.174324,31.478918,31.680302,22.069340,8299665
2005-02-01,31.592196,31.626808,31.378225,31.472624,21.924671,8168731
2005-02-02,31.299559,31.409693,30.852737,31.349907,21.839184,10436234
2005-02-03,31.349907,31.626808,31.183134,31.623663,22.029877,5416583
2005-02-04,31.529264,32.007553,31.466331,32.007553,22.297308,7533449
2005-02-07,31.922592,31.938326,31.349907,31.522970,21.959742,5989577
2005-02-08,31.387665,31.875393,31.261801,31.780994,22.139484,5805888
2005-02-09,31.702330,31.724356,31.444305,31.623663,22.029877,5821778
2005-02-10,31.620516,32.400883,31.617369,32.303333,22.503363,7208657
2005-02-11,32.174324,32.337948,31.812462,31.906860,22.227163,9668747
2005-02-14,31.749529,31.916300,31.655128,31.875393,22.205256,4183201
2005-02-15,31.878540,32.353683,31.765261,32.337948,22.527475,8118519
2005-02-16,32.199497,32.444935,32.146004,32.363121,22.641954,6564159
2005-02-17,32.315922,32.429199,31.881687,31.938326,22.344753,6104938
2005-02-18,31.938326,31.938326,31.623663,31.752674,22.214863,5236391
2005-02-22,31.592196,31.680302,31.038389,31.038389,21.715137,7828050
2005-02-23,31.334171,31.567022,31.157961,31.387665,21.959492,6955689
2005-02-24,31.434866,31.510384,31.057268,31.472624,22.018942,4963400
2005-02-25,31.598490,31.881687,31.450598,31.787289,22.239082,3775464
2005-02-28,31.623663,31.806168,31.368786,31.428572,21.988115,5149949
2005-03-01,31.425425,31.655128,31.343613,31.434866,21.992516,5194441
2005-03-02,31.157961,31.614223,31.154814,31.318439,21.911066,5102915
2005-03-03,31.450598,31.560730,31.054123,31.375078,21.950693,5676861
2005-03-04,31.680302,31.922592,31.507236,31.699183,22.177439,6890857
2005-03-07,31.828194,32.297043,31.790434,31.875393,22.300734,4803865
2005-03-08,31.913153,32.378857,31.894274,32.177471,22.512058,5504296
2005-03-09,32.177471,32.243549,31.592196,31.636250,22.133415,6035022
2005-03-10,31.828194,32.133415,31.743235,32.042164,22.417400,4075149
2005-03-11,32.064190,32.136562,31.780994,31.894274,22.313938,5480779
2005-03-14,31.916300,32.514160,31.894274,32.404030,22.670580,6196782
2005-03-15,32.410320,32.787918,32.190056,32.190056,22.520866,6014683
2005-03-16,32.193203,32.363121,31.803020,31.941473,22.346956,7696163
2005-03-17,32.095657,32.400883,31.998112,32.212082,22.536282,5919978
2005-03-18,32.514160,32.945248,32.095657,32.646317,22.840078,14585749
2005-03-21,32.724983,32.882317,32.599117,32.671494,22.857691,5258637
2005-03-22,32.677784,32.835117,32.328506,32.328506,22.617731,5373045
2005-03-23,32.375710,32.432346,32.010700,32.051605,22.424004,6290851
2005-03-24,32.205791,32.359974,32.016991,32.073631,22.439413,4327800
2005-03-28,32.152298,32.388294,32.016991,32.070484,22.437214,4897934
2005-03-29,32.070484,32.410320,31.859659,31.925739,22.335949,5496669
2005-03-30,31.906860,32.375710,31.799873,32.325363,22.615534,4682465
2005-03-31,32.190056,32.331654,31.897421,31.988672,22.379974,5817647
2005-04-01,32.139709,32.152298,31.532410,31.762115,22.221472,6378564
2005-04-04,31.576464,31.623663,31.252359,31.419132,21.981510,7740337
2005-04-05,31.371931,31.463184,31.214600,31.390812,21.961704,8044154
2005-04-06,31.482063,31.686596,31.441158,31.589050,22.100393,4447611
