Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,26.809999,27.129999,26.754999,26.850000,20.292376,1473400
2005-01-04,26.844999,26.844999,25.889999,25.969999,19.627295,1444200
2005-01-05,26.070000,26.135000,25.200001,25.309999,19.128485,1791400
2005-01-06,25.424999,25.490000,25.129999,25.365000,19.170057,654600
2005-01-07,25.400000,25.670000,25.340000,25.495001,19.268305,592200
2005-01-10,25.400000,26.045000,25.375000,25.865000,19.547939,808400
2005-01-11,25.790001,25.825001,25.184999,25.240000,19.075581,1015000
2005-01-12,25.299999,25.395000,24.850000,25.174999,19.026455,1155800
2005-01-13,25.174999,25.174999,24.635000,24.695000,18.663700,772600
2005-01-14,24.820000,24.895000,24.545000,24.680000,18.652349,760800
2005-01-18,24.629999,25.065001,24.575001,25.065001,18.943327,732400
2005-01-19,24.940001,25.020000,24.594999,24.600000,18.591890,693600
2005-01-20,24.549999,24.594999,24.400000,24.480000,18.501200,823400
2005-01-21,24.469999,24.525000,24.084999,24.115000,18.225349,600000
2005-01-24,24.110001,24.250000,23.969999,23.969999,18.115757,800600
2005-01-25,23.995001,24.350000,23.995001,24.100000,18.214012,692400
2005-01-26,24.094999,24.230000,23.719999,23.815001,17.998621,1236600
2005-01-27,23.840000,23.850000,23.660000,23.750000,17.949490,1151200
2005-01-28,23.825001,23.875000,23.385000,23.575001,17.817232,1017600
2005-01-31,26.125000,26.445000,25.275000,25.650000,19.385448,5372600
2005-02-01,25.700001,26.225000,25.645000,26.110001,19.733097,1500800
2005-02-02,26.174999,26.174999,25.980000,26.075001,19.706652,778000
2005-02-03,25.950001,26.100000,25.875000,26.084999,19.714207,631800
2005-02-04,26.125000,26.325001,26.014999,26.125000,19.744440,517600
2005-02-07,26.000000,26.174999,25.740000,25.745001,19.457245,974000
2005-02-08,25.860001,26.100000,25.725000,26.045000,19.683975,731600
2005-02-09,26.014999,26.125000,25.900000,25.940001,19.604624,853800
2005-02-10,25.990000,26.030001,25.715000,25.900000,19.574385,419800
2005-02-11,25.875000,26.424999,25.875000,26.190001,19.793556,548600
2005-02-14,26.084999,26.200001,26.025000,26.100000,19.725540,398000
2005-02-15,26.100000,26.420000,25.985001,26.225000,19.820019,603000
2005-02-16,26.225000,26.225000,25.945000,26.155001,19.767111,632400
2005-02-17,26.084999,26.160000,25.910000,26.115000,19.736885,778600
2005-02-18,26.174999,26.635000,26.174999,26.565001,20.076982,768200
2005-02-22,26.400000,26.465000,25.915001,25.940001,19.604624,1273000
2005-02-23,26.000000,26.200001,25.930000,26.145000,19.759558,607400
2005-02-24,26.049999,26.465000,25.950001,26.424999,19.971169,755200
2005-02-25,26.375000,26.504999,26.254999,26.465000,20.001398,739000
2005-02-28,26.410000,26.459999,26.040001,26.135000,19.751999,844000
2005-03-01,26.209999,26.535000,26.065001,26.195000,19.797342,1016800
2005-03-02,26.195000,26.475000,25.975000,26.129999,19.748209,1054000
2005-03-03,26.165001,26.299999,25.945000,26.100000,19.725540,868200
2005-03-04,26.200001,26.665001,26.200001,26.420000,19.967388,736400
2005-03-07,26.424999,26.655001,26.299999,26.325001,19.895596,578800
2005-03-08,26.325001,26.325001,26.090000,26.135000,19.751999,646800
2005-03-09,26.160000,26.355000,26.040001,26.049999,19.687756,457400
2005-03-10,26.045000,26.165001,25.840000,26.129999,19.748209,744800
2005-03-11,26.080000,26.375000,25.889999,25.934999,19.600840,617400
2005-03-14,26.035000,26.225000,25.840000,25.985001,19.638628,693000
2005-03-15,26.084999,26.355000,25.900000,25.985001,19.638628,648200
2005-03-16,25.950001,26.075001,25.680000,25.709999,19.430796,898600
2005-03-17,25.775000,26.120001,25.760000,26.025000,19.668861,742800
2005-03-18,26.000000,26.000000,25.650000,25.830000,19.521488,1136400
2005-03-21,25.799999,26.000000,25.760000,25.799999,19.498812,528000
2005-03-22,25.799999,26.049999,25.615000,25.650000,19.385448,581200
2005-03-23,25.700001,25.725000,25.355000,25.475000,19.253187,888600
2005-03-24,25.549999,25.775000,25.504999,25.674999,19.404345,470800
2005-03-28,25.725000,25.889999,25.410000,25.450001,19.234293,1045600
2005-03-29,25.375000,25.680000,25.170000,25.190001,19.037802,1087200
2005-03-30,25.270000,25.799999,25.215000,25.795000,19.495033,903400
2005-03-31,25.695000,26.045000,25.695000,25.969999,19.627295,823200
2005-04-01,26.250000,26.610001,25.709999,26.014999,19.661310,2244600
2005-04-04,26.020000,26.219999,25.875000,26.184999,19.789782,794200
2005-04-05,26.139999,26.490000,26.125000,26.450001,19.990063,899000
2005-04-06,26.549999,26.605000,26.450001,26.525000,20.046749,777200
2005-04-07,26.559999,26.665001,26.504999,26.625000,20.122326,630400
2005-04-08,26.600000,26.750000,26.455000,26.459999,19.997620,887200
2005-04-11,26.275000,26.280001,25.650000,25.830000,19.521488,3187200
2005-04-12,26.225000,27.500000,25.955000,27.250000,20.594681,4110400
2005-04-13,27.000000,27.000000,26.150000,26.215000,19.812456,3075600
2005-04-14,26.290001,26.629999,25.980000,26.334999,19.903145,2034200
2005-04-15,26.340000,26.580000,25.934999,26.000000,19.649971,1860600
2005-04-18,25.969999,26.250000,25.660000,26.100000,19.725540,1304600
2005-04-19,26.100000,26.625000,26.084999,26.270000,19.854027,1301000
2005-04-20,26.320000,26.320000,25.320000,25.500000,19.272081,2027600
2005-04-21,25.549999,25.955000,25.500000,25.920000,19.589508,1258600
2005-04-22,25.920000,25.920000,25.120001,25.389999,19.188942,1186400
2005-04-25,25.475000,25.799999,25.295000,25.635000,19.374107,592600
2005-04-26,25.600000,25.610001,24.905001,24.910000,18.826189,1547600
2005-04-27,24.260000,24.995001,23.625000,24.795000,18.739269,4683800
2005-04-28,24.725000,24.725000,24.049999,24.215000,18.300922,1922000
2005-04-29,24.299999,24.379999,23.985001,24.219999,18.304695,1488200
2005-05-02,24.230000,24.625000,24.225000,24.575001,18.572994,1429000
2005-05-03,24.625000,24.715000,24.195000,24.344999,18.399174,1375400
2005-05-04,24.344999,24.590000,24.254999,24.590000,18.584335,832400
2005-05-05,24.525000,24.735001,24.520000,24.629999,18.614561,737600
2005-05-06,24.740000,24.844999,24.500000,24.525000,18.535208,678800
2005-05-09,24.530001,24.700001,24.350000,24.480000,18.501200,826600
2005-05-10,24.250000,24.645000,24.250000,24.455000,18.482296,1047600
2005-05-11,24.455000,24.875000,24.389999,24.719999,18.682585,1281000
2005-05-12,24.750000,24.815001,24.070000,24.215000,18.300922,1175600
2005-05-13,24.299999,24.325001,23.775000,23.875000,18.043962,1096800
2005-05-16,23.924999,24.865000,23.900000,24.775000,18.724152,1511200
2005-05-17,24.775000,24.875000,24.535000,24.809999,18.750601,736200
2005-05-18,26.000000,26.430000,25.605000,26.280001,19.861582,2719600
2005-05-19,26.299999,26.340000,25.955000,26.135000,19.751999,853800
2005-05-20,26.180000,26.245001,25.795000,25.850000,19.536602,447800
2005-05-23,25.825001,25.865000,25.350000,25.700001,19.423233,1157200
2005-05-24,26.025000,26.375000,25.900000,26.195000,19.797342,1361800
2005-05-25,26.184999,26.184999,25.590000,25.865000,19.547939,779000
2005-05-26,25.924999,26.209999,25.924999,26.180000,19.786001,770600
2005-05-27,26.125000,26.410000,26.125000,26.205000,19.804901,408200
2005-05-31,26.125000,26.125000,25.805000,25.895000,19.570612,658400
2005-06-01,25.895000,26.315001,25.860001,26.180000,19.786001,478800
2005-06-02,26.135000,26.135000,25.879999,25.950001,19.612179,687200
2005-06-03,25.924999,26.049999,25.625000,25.995001,19.646191,719000
2005-06-06,25.969999,26.135000,25.959999,26.020000,19.665085,532600
2005-06-07,26.049999,26.260000,25.680000,25.719999,19.438343,643800
2005-06-08,25.820000,25.879999,25.600000,25.655001,19.389233,285800
2005-06-09,25.940001,25.940001,25.424999,25.695000,19.419455,397400
2005-06-10,25.850000,26.004999,25.455000,25.709999,19.430796,473600
2005-06-13,25.650000,26.150000,25.450001,26.020000,19.665085,1076800
2005-06-14,26.020000,26.235001,25.905001,26.030001,19.672644,503800
2005-06-15,26.155001,26.200001,25.684999,25.790001,19.491259,378000
2005-06-16,25.840000,26.225000,25.834999,26.075001,19.706652,515600
2005-06-17,26.250000,26.299999,25.945000,26.090000,19.717987,743400
2005-06-20,26.000000,26.035000,25.740000,25.959999,19.619740,361600
2005-06-21,25.905001,25.910000,25.600000,25.635000,19.374107,550200
