Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,6.287500,6.360000,6.185000,6.212500,5.091292,10098800
2005-01-04,6.237500,6.252500,6.167500,6.190000,5.072855,11391200
2005-01-05,6.187500,6.240000,6.150000,6.165000,5.052367,7756000
2005-01-06,6.227500,6.235000,6.140000,6.167500,5.054412,9952000
2005-01-07,6.180000,6.180000,6.087500,6.137500,5.029828,6769600
2005-01-10,6.087500,6.245000,6.087500,6.205000,5.085144,7185600
2005-01-11,6.155000,6.202500,6.107500,6.162500,5.050314,5811600
2005-01-12,6.150000,6.220000,6.125000,6.215000,5.093341,7502400
2005-01-13,6.200000,6.230000,6.162500,6.200000,5.081047,7692400
2005-01-14,6.187500,6.250000,6.175000,6.242500,5.115877,4350800
2005-01-18,6.205000,6.365000,6.200000,6.357500,5.210125,9930000
2005-01-19,6.320000,6.367500,6.285000,6.287500,5.152756,4928000
2005-01-20,6.257500,6.332500,6.250000,6.275000,5.142512,5409200
2005-01-21,6.262500,6.310000,6.240000,6.242500,5.115877,4629600
2005-01-24,6.247500,6.287500,6.155000,6.170000,5.056462,6725600
2005-01-25,6.170000,6.277500,6.170000,6.202500,5.083098,4448800
2005-01-26,6.205000,6.240000,6.197500,6.225000,5.101535,6670000
2005-01-27,6.187500,6.305000,6.177500,6.252500,5.124076,7864000
2005-01-28,6.272500,6.282500,6.182500,6.210000,5.089243,5216000
2005-01-31,6.250000,6.285000,6.217500,6.260000,5.130219,5944400
2005-02-01,6.277500,6.367500,6.270000,6.350000,5.203978,4668000
2005-02-02,6.375000,6.460000,6.372500,6.432500,5.271589,7460000
2005-02-03,6.482500,6.482500,6.392500,6.450000,5.285929,6824400
2005-02-04,6.430000,6.490000,6.422500,6.462500,5.296175,4523600
2005-02-07,6.460000,6.487500,6.442500,6.472500,5.304369,4609200
2005-02-08,6.435000,6.465000,6.372500,6.372500,5.231509,4358400
2005-02-09,6.352500,6.372500,6.277500,6.282500,5.157624,6467600
2005-02-10,6.322500,6.337500,6.287500,6.302500,5.174043,6636400
2005-02-11,6.300000,6.387500,6.295000,6.337500,5.202775,3926800
2005-02-14,6.325000,6.362500,6.310000,6.322500,5.190461,3848000
2005-02-15,6.325000,6.387500,6.295000,6.337500,5.202775,6314000
2005-02-16,6.312500,6.332500,6.267500,6.312500,5.182252,6576000
2005-02-17,6.312500,6.370000,6.275000,6.320000,5.188411,5214400
2005-02-18,6.325000,6.355000,6.287500,6.325000,5.192515,4414800
2005-02-22,6.325000,6.357500,6.162500,6.185000,5.077579,7267600
2005-02-23,6.225000,6.242500,6.077500,6.105000,5.011904,8775200
2005-02-24,6.075000,6.092500,5.970000,6.025000,4.946229,12117600
2005-02-25,6.005000,6.110000,5.960000,6.050000,4.966753,9525600
2005-02-28,6.037500,6.130000,5.985000,6.105000,5.011904,8495600
2005-03-01,6.137500,6.172500,6.100000,6.127500,5.030379,7056800
2005-03-02,6.077500,6.152500,6.052500,6.105000,5.011904,9987600
2005-03-03,6.155000,6.252500,6.110000,6.167500,5.063213,12573600
2005-03-04,6.172500,6.255000,6.150000,6.187500,5.079633,8138400
2005-03-07,6.220000,6.262500,6.165000,6.200000,5.089893,5030000
2005-03-08,6.200000,6.202500,6.075000,6.085000,4.995486,10152800
2005-03-09,6.075000,6.175000,6.072500,6.140000,5.040638,10887600
2005-03-10,6.150000,6.197500,6.137500,6.150000,5.048849,5705200
2005-03-11,6.175000,6.220000,6.140000,6.205000,5.093999,12845200
2005-03-14,6.220000,6.247500,6.122500,6.155000,5.052953,8919200
2005-03-15,6.195000,6.225000,6.160000,6.192500,5.083738,6992400
2005-03-16,6.175000,6.215000,6.100000,6.122500,5.026273,7249200
2005-03-17,6.150000,6.195000,6.087500,6.122500,5.026273,5702000
2005-03-18,6.125000,6.172500,6.075000,6.130000,5.032427,10685200
2005-03-21,6.130000,6.150000,6.070000,6.110000,5.016009,6000800
2005-03-22,6.092500,6.187500,6.072500,6.075000,4.987276,7474800
2005-03-23,6.050000,6.097500,6.020000,6.045000,4.962646,9250400
2005-03-24,6.045000,6.092500,6.017500,6.042500,4.960596,6274800
2005-03-28,6.045000,6.185000,6.045000,6.155000,5.052953,4864400
2005-03-29,6.150000,6.217500,6.127500,6.132500,5.034481,7925200
2005-03-30,6.132500,6.175000,6.110000,6.145000,5.044744,8384800
2005-03-31,6.150000,6.192500,6.100000,6.157500,5.055003,9240000
2005-04-01,6.195000,6.200000,6.005000,6.055000,4.970857,13912800
2005-04-04,6.062500,6.102500,5.965000,6.060000,4.974962,7056400
2005-04-05,6.060000,6.177500,6.060000,6.137500,5.038586,7948800
2005-04-06,6.137500,6.137500,6.040000,6.060000,4.974962,7182800
2005-04-07,6.062500,6.080000,5.972500,6.080000,4.991381,10218800
2005-04-08,6.080000,6.097500,6.017500,6.045000,4.962646,5154000
2005-04-11,6.042500,6.067500,5.960000,5.977500,4.907234,5972400
2005-04-12,5.962500,6.012500,5.915000,5.997500,4.923653,9882400
2005-04-13,5.997500,6.027500,5.955000,5.972500,4.903128,8454800
2005-04-14,5.962500,5.990000,5.910000,5.912500,4.853872,6742800
2005-04-15,5.902500,5.920000,5.815000,5.817500,4.775883,8041600
2005-04-18,5.822500,5.867500,5.782500,5.810000,4.769725,8280400
