Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,31.115000,31.165001,30.875000,30.955000,19.395950,8168200
2005-01-04,30.975000,31.250000,30.885000,30.980000,19.411625,9241400
2005-01-05,31.040001,31.375000,30.975000,31.014999,19.433546,7694600
2005-01-06,31.049999,31.150000,30.900000,31.125000,19.502472,8887600
2005-01-07,31.170000,31.280001,31.030001,31.084999,19.477406,6573200
2005-01-10,31.025000,31.225000,30.825001,31.065001,19.464880,7685200
2005-01-11,31.025000,31.090000,30.850000,31.004999,19.427280,7490800
2005-01-12,30.934999,30.975000,30.549999,30.590000,19.167252,11469200
2005-01-13,30.600000,30.705000,30.230000,30.320000,18.998074,10710000
2005-01-14,30.315001,30.424999,30.160000,30.344999,19.013733,10155000
2005-01-18,30.075001,30.754999,30.049999,30.730000,19.254976,10051000
2005-01-19,30.700001,30.745001,30.480000,30.500000,19.110857,6215400
2005-01-20,30.219999,30.400000,30.155001,30.270000,18.966736,6901800
2005-01-21,30.205000,30.290001,30.004999,30.059999,18.835161,6870600
2005-01-24,30.059999,30.299999,29.900000,29.975000,18.781902,7968800
2005-01-25,29.975000,30.240000,29.975000,30.165001,18.900953,7470600
2005-01-26,30.250000,30.540001,30.230000,30.434999,19.070127,7278400
2005-01-27,30.235001,30.485001,30.094999,30.215000,18.932280,6116000
2005-01-28,30.195000,30.424999,30.105000,30.260000,18.960474,6079000
2005-01-31,30.530001,30.700001,30.455000,30.650000,19.204842,6569800
2005-02-01,30.775000,31.090000,30.684999,30.900000,19.361492,8031800
2005-02-02,30.625000,30.625000,30.270000,30.389999,19.190989,8393000
2005-02-03,30.325001,30.525000,30.264999,30.525000,19.276239,5671600
2005-02-04,30.549999,30.555000,30.290001,30.490000,19.254139,5937600
2005-02-07,30.500000,30.770000,30.275000,30.709999,19.393064,7077800
2005-02-08,30.995001,30.995001,30.635000,30.719999,19.399380,7216800
2005-02-09,30.775000,30.790001,30.455000,30.455000,19.232035,5659000
