Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,18.219999,18.280001,17.920000,18.020000,9.707830,879200
2005-01-04,17.830000,17.959999,17.660000,17.750000,9.562375,1220300
2005-01-05,17.620001,17.700001,17.430000,17.549999,9.454627,1430000
2005-01-06,17.549999,17.580000,17.430000,17.520000,9.438464,1019200
2005-01-07,17.480000,17.740000,17.410000,17.420000,9.384595,1267600
2005-01-10,17.459999,17.680000,17.420000,17.660000,9.513887,1338700
2005-01-11,17.670000,17.770000,17.549999,17.719999,9.546210,1121300
2005-01-12,17.719999,17.770000,17.580000,17.700001,9.535439,1613500
2005-01-13,17.700001,17.990000,17.690001,17.870001,9.627018,1089900
2005-01-14,17.830000,18.139999,17.799999,17.950001,9.670115,1356300
2005-01-18,18.000000,18.190001,17.809999,18.180000,9.794025,1350700
2005-01-19,18.250000,18.270000,18.100000,18.110001,9.756315,1280800
2005-01-20,18.200001,18.270000,17.940001,18.030001,9.713219,1346300
2005-01-21,18.170000,18.170000,17.969999,18.040001,9.718609,984900
2005-01-24,18.049999,18.240000,18.020000,18.090000,9.745541,856700
2005-01-25,18.150000,18.180000,17.900000,17.959999,9.675506,654600
2005-01-26,18.059999,18.170000,18.000000,18.070000,9.734765,807300
2005-01-27,17.980000,18.139999,17.879999,18.100000,9.750927,936000
2005-01-28,18.150000,18.150000,17.879999,18.059999,9.729377,816900
2005-01-31,18.100000,18.209999,18.059999,18.190001,9.799411,1492500
2005-02-01,18.139999,18.200001,18.040001,18.200001,9.804803,1271900
2005-02-02,18.080000,18.190001,18.030001,18.129999,9.767090,823600
2005-02-03,18.129999,18.270000,18.049999,18.270000,9.842512,883100
2005-02-04,18.270000,18.410000,18.250000,18.410000,9.917935,632500
2005-02-07,18.320000,18.400000,18.059999,18.120001,9.761703,746300
2005-02-08,18.090000,18.280001,18.090000,18.240000,9.826348,527600
2005-02-09,18.250000,18.290001,18.000000,18.040001,9.718609,727500
2005-02-10,18.040001,18.090000,17.920000,17.950001,9.670115,1135100
2005-02-11,18.010000,18.049999,17.830000,17.920000,9.653960,876600
2005-02-14,18.020000,18.080000,17.959999,18.070000,9.734765,831700
2005-02-15,18.120001,18.180000,18.040001,18.180000,9.794025,1330500
2005-02-16,18.110001,18.219999,18.030001,18.209999,9.810186,708700
2005-02-17,18.230000,18.230000,18.059999,18.100000,9.750927,757900
2005-02-18,18.110001,18.110001,17.850000,17.860001,9.621634,1047200
2005-02-22,17.850000,17.870001,17.330000,17.330000,9.336107,1727800
